word,npmi-bias,himself-npmi,himself-count,man-npmi,man-count
of,0.0674028312386652,0.4149799409649638,6,0.3475771097262986,43
are,0.07313841283049871,0.3048127100279323,2,0.2316742971974336,12
where,0.0771780481889543,0.343770156870354,1,0.2665921086813997,5
one,0.07897240312132431,0.3740761974010825,2,0.2951037942797582,11
all,0.08121718057473748,0.3413723566180032,2,0.2601551760432657,11
they,0.08329231341847929,0.3085494639410857,2,0.2252571505226064,11
he,0.08790237290836012,0.3963642610234274,2,0.3084618881150673,10
more,0.08872012663592937,0.3863960505065221,2,0.2976759238705927,10
people,0.09047380064075783,0.36416702995922,2,0.2736932293184622,10
from,0.09072602453485196,0.3608659054428824,2,0.2701398809080304,10
guy,0.095103736472257,0.3851016879367483,1,0.2899979514644913,4
i,0.09822020072898052,0.3937876639937875,6,0.295567463264807,36
would,0.10192656643119657,0.2922874508343848,1,0.1903608844031882,4
be,0.1039258789956296,0.3431076649113255,2,0.2391817859156959,9
him,0.10773124631068415,0.4366755076356669,2,0.3289442613249828,8
it,0.11056591284526152,0.3796146110184662,4,0.2690486981732047,20
fun,0.1145516479211473,0.4423065109024717,1,0.3277548629813244,3
that,0.11479990893658171,0.4250147084592657,5,0.310214799522684,25
mail,0.1150982719967954,0.4376048117284454,1,0.32250653973165,3
so,0.1153776489066779,0.3607737233691789,2,0.245396074462501,8
just,0.11554249654123289,0.3589537136315811,2,0.2434112170903482,8
killed,0.11668575328780417,0.4236210647752854,1,0.3069353114874812,3
reason,0.11832271502031438,0.408644140585384,1,0.2903214255650696,3
story,0.12021883034532688,0.3904990235269153,1,0.2702801931815884,3
while,0.12152446504617703,0.3774428496519358,1,0.2559183846057588,3
after,0.12225452305797144,0.3699204349915832,1,0.2476659119336118,3
being,0.12361483816370153,0.3554351624630274,1,0.2318203242993259,3
find,0.12401846456123361,0.3510104423708422,1,0.2269919778096086,3
than,0.12537228335907868,0.3357003369771204,1,0.2103280536180417,3
by,0.1312097354953437,0.4359243480562185,3,0.3047146125608748,11
here,0.143545513878886,0.3809325094870698,2,0.2373869956081838,6
was,0.146171786386029,0.4666660471195994,5,0.3204942607335704,19
russia,0.1477183203148682,0.4423065109024717,1,0.2945881905876035,2
morning,0.1479495608208229,0.440683318492337,1,0.2927337576715141,2
nordic,0.15046416192032808,0.4225357727084399,1,0.2720716107881118,2
future,0.1523018458138105,0.408644140585384,1,0.2563422947715735,2
seems,0.15250713751512412,0.4070560788344652,1,0.2545489413193411,2
lol,0.15334822550402857,0.4004688922664861,1,0.2471206667624575,2
way,0.15651073821356104,0.4215089305525874,2,0.2649981923390264,5
d,0.1566106082703358,0.3735568716692449,1,0.2169462633989091,2
https,0.1567540142229706,0.3723187620458866,1,0.215564747822916,2
said,0.1573357625850061,0.3672434372532052,1,0.2099076746681991,2
home,0.15812569387476502,0.3602105552189666,1,0.2020848613442016,2
live,0.15875068684198418,0.3545240253909668,1,0.1957733385489826,2
anyone,0.1588159053456571,0.353924139493649,1,0.1951082341479919,2
even,0.15981905845861868,0.3445342280246553,1,0.1847151695660366,2
too,0.1603321403887324,0.3396072995408529,1,0.1792751591521205,2
any,0.16104096493388637,0.3326518904910585,1,0.1716109255571721,2
these,0.161271255713561,0.3303530844874243,1,0.1690818287738633,2
new,0.16141271722282519,0.3289311258979525,1,0.1675184086751273,2
get,0.16208727486818753,0.379124438522813,2,0.2170371636546255,5
know,0.1621893026627988,0.3209855094363343,1,0.1587962067735355,2
but,0.17158220659232973,0.3991900301082231,3,0.2276078235158934,8
who,0.18076327940650477,0.4330017289130046,3,0.2522384495064998,7
murders,0.1944357581646195,0.4758419842921146,1,0.2814062261274951,1
camera,0.1951358838249853,0.4722785906164142,1,0.2771427067914289,1
yesterday,0.1968882860791255,0.4631910127477455,1,0.26630272666862,1
protect,0.1978490868685615,0.4581012316049836,1,0.2602521447364221,1
film,0.19944306897573078,0.4494786329622445,1,0.2500355639865137,1
russian,0.20073677809872048,0.4423065109024717,1,0.2415697328037512,1
scene,0.2015691119826516,0.4376048117284454,1,0.2360356997457938,1
did,0.20256053630008689,0.430176060255964,2,0.2276155239558771,3
page,0.20483595898932852,0.4184260615531236,1,0.2135901025637951,1
either,0.20530676118058921,0.4155587891066234,1,0.2102520279260342,1
e,0.2054567561404743,0.4146394211534098,1,0.2091826650129355,1
couple,0.2081228355488443,0.3977926477519722,1,0.1896698122031279,1
everyone,0.20822227898042608,0.3971446174559424,1,0.1889223384755163,1
used,0.2092288560786666,0.3904990235269153,1,0.1812701674482487,1
trying,0.2093966748879718,0.3893753639885989,1,0.1799786891006271,1
god,0.21010363224907938,0.3845904272958965,1,0.1744867950468171,1
bad,0.21074255271807088,0.3801919606975366,1,0.1694494079794657,1
org,0.2108765289733815,0.3792604058314157,1,0.1683838768580342,1
negro,0.21094251067794859,0.3788004256195708,1,0.1678579149416222,1
forum,0.21107252519747227,0.3778917138589484,1,0.1668191886614761,1
saw,0.2116866154895197,0.3735568716692449,1,0.1618702561797252,1
maybe,0.212301555107184,0.3691428020004901,1,0.1568412468933061,1
stormfront,0.21281420274555057,0.3654043928935807,1,0.1525901901480301,1
show,0.2135140458539827,0.3602105552189666,1,0.1466965093649839,1
into,0.2154426006781501,0.3453077468697635,1,0.1298651461916134,1
were,0.21754333157220712,0.3279339202081211,1,0.110390588635914,1
think,0.21758922478612264,0.3275392160315305,1,0.1099499912454079,1
friend,0.22574047084563037,0.4868381071024025,2,0.2610976362567721,2
