word,npmi-bias,she-npmi,she-count,straight-npmi,straight-count
getting,-0.13280440618341902,0.2172603062507296,2,0.3500647124341486,1
wait,-0.13230895247080648,0.2224788569916108,2,0.3547878094624173,1
weeks,-0.13222124835887566,0.2233964215160854,2,0.3556176698749611,1
head,-0.13135158067915267,0.2323972659855469,2,0.3637488466646996,1
info,-0.13042190515408592,0.2418313858693787,2,0.3722532910234646,1
have,-0.1260751083407637,0.1130161396500203,6,0.239091247990784,2
the,-0.12559784943607877,0.3268879306296915,78,0.4524857800657703,16
became,-0.1251802025498459,0.291894282491664,2,0.4170744850415099,1
blonde,-0.1251802025498459,0.291894282491664,2,0.4170744850415099,1
up,-0.12034417110975551,0.1888408946654622,6,0.3091850657752177,2
an,-0.118800635522465,0.2072387110856283,6,0.3260393466080933,2
it,-0.11365359583937851,0.2705856168441921,30,0.3842392126835706,7
eyes,-0.11168357335743911,0.2844320434674358,6,0.3961156168248749,2
around,-0.1049121268566705,0.1834352691770269,3,0.2883473960336974,1
video,-0.10449754000089151,0.1893760755737407,3,0.2938736155746322,1
find,-0.1043420938785675,0.1915836186470161,3,0.2959257125255836,1
woman,-0.1010294247831241,0.2363323601483141,3,0.3373617849314382,1
went,-0.09748460770039913,0.2955438451366508,7,0.3930284528370499,2
when,-0.0964142696328345,0.2711090622000098,12,0.3675233318328443,3
bag,-0.0937143893675963,0.3233600956739136,3,0.4170744850415099,1
as,-0.09087827693227118,0.2385731543898223,13,0.3294514313220935,3
got,-0.0872032331905761,0.2762367008284607,8,0.3634399340190368,2
www,-0.08145232043831929,0.1785775686958569,4,0.2600298891341762,1
few,-0.08023755750796588,0.1996701927675237,4,0.2799077502754896,1
years,-0.07972303830440428,0.2083600345113545,4,0.2880830728157588,1
one,-0.07937209352431321,0.2301637820373804,9,0.3095358755616936,2
news,-0.0792404322210063,0.2163880535390666,4,0.2956284857600729,1
look,-0.079221269471596,0.2167044430539876,4,0.2959257125255836,1
own,-0.0789830741952238,0.2206223845789442,4,0.299605458774168,1
him,-0.0787060712798704,0.2251447037211884,4,0.3038507750010588,1
then,-0.07665952360927158,0.2702094216789287,9,0.3468689452882003,2
gets,-0.07468651900413298,0.2871416699704341,4,0.3618281889745671,1
at,-0.07344058562972189,0.269830687469145,15,0.3432712730988669,3
on,-0.06877940649811276,0.2610410732772279,22,0.3298204797753407,4
me,-0.06837985921875012,0.2394182874941469,10,0.307798146712897,2
no,-0.0675815648410899,0.2525267223495736,10,0.3201082871906635,2
just,-0.06599119330301445,0.2768200201837521,16,0.3428112134867666,3
your,-0.0628379170844581,0.1580009822867857,5,0.2208388993712438,1
white,-0.062395960311716625,0.2770633325880167,23,0.3394592928997333,4
they,-0.0619358358572977,0.1785147651402563,11,0.240450600997554,2
time,-0.060312071153989705,0.2108627672317648,5,0.2711748383857545,1
day,-0.059569256426760114,0.2256746492676591,5,0.2852439056944192,1
could,-0.059152101861345785,0.233861792571876,5,0.2930138944332218,1
two,-0.05829091273401221,0.250481708463503,5,0.3087726211975152,1
for,-0.058158245903864814,0.262195118205239,24,0.3203533641091038,4
and,-0.057431628842039784,0.3718781323988114,80,0.4293097612408512,12
black,-0.057309694229687014,0.2647211548998894,11,0.3220308491295764,2
are,-0.0523292301031425,0.1841991423574474,12,0.2365283724605899,2
of,-0.05023178110514881,0.2746905572585408,40,0.3249223383636896,6
out,-0.045391389513508185,0.3015677624451542,19,0.3469591519586624,3
good,-0.043766360307088775,0.2112069398379742,6,0.254973300145063,1
he,-0.04360734581537068,0.2150387434293739,6,0.2586460892447446,1
only,-0.042978631032058096,0.2300655638806776,6,0.2730441949127357,1
now,-0.042602784394248,0.2389567866166276,6,0.2815595710108756,1
year,-0.0423362560793174,0.2452213608904964,6,0.2875576169698138,1
something,-0.04117412955676447,0.2721571361220163,6,0.3133312656787808,1
ago,-0.041156067921631734,0.2725710377650288,6,0.3137271056866605,1
hair,-0.04020133054035557,0.2942521011945412,6,0.3344534317348968,1
looks,-0.04003795617526984,0.2979240911568148,6,0.3379620473320846,1
get,-0.03946944911734046,0.2754129649898787,13,0.3148824141072192,2
like,-0.0339575456586062,0.2985654238823896,21,0.3325229695409958,3
about,-0.031652162659051686,0.2725685673965932,14,0.3042207300556449,2
s,-0.02951502876069728,0.2727666531325591,22,0.3022816818932564,3
here,-0.029155989329559207,0.2123326463689697,7,0.2414886356985289,1
go,-0.02825825352827438,0.2381663338181148,7,0.2664245873463892,1
say,-0.027787923957525607,0.2516552835487308,7,0.2794432075062564,1
a,-0.027680255815199895,0.354155840594251,70,0.3818360964094509,9
kids,-0.027494202627099174,0.2600634143427146,7,0.2875576169698138,1
thing,-0.0266428604281867,0.2843663253274935,7,0.3110091857556802,1
said,-0.026572677768873232,0.2863653295269375,7,0.3129380072958107,1
or,-0.024473521109668994,0.2619861381062092,15,0.2864596592158782,2
by,-0.015614296058117982,0.2282134381297163,8,0.2438277341878343,1
to,-0.014370266786087105,0.310620524562944,59,0.3249907913490311,7
did,-0.014094450000917247,0.2824299121052978,8,0.296524362106215,1
off,-0.013869250700863811,0.2906610846579104,8,0.3045303353587742,1
see,-0.0032594380461606898,0.2507439310906339,9,0.2540033691367946,1
in,0.0036285403601987176,0.3159471728468577,47,0.312318632486659,5
old,0.00820219529842181,0.2929428260756761,10,0.2847406307772543,1
t,0.009695136086930567,0.2939281820191942,20,0.2842330459322636,2
if,0.009732689335315126,0.2961923485511933,20,0.2864596592158782,2
from,0.009881667824054807,0.3054430638968435,20,0.2955613960727887,2
i,0.014055642073834695,0.3159074091324528,60,0.3018517670586181,6
n,0.01573097055593603,0.3031516607078441,21,0.2874206901519081,2
will,0.01738400206393559,0.2355720177594557,11,0.2181880156955201,1
this,0.021045889372179383,0.2685050838470763,22,0.2474591944748969,2
be,0.02675054025801671,0.2265251348882848,12,0.1997745946302681,1
is,0.03449952245964427,0.3615397890661455,57,0.3270402666065012,5
has,0.03593233917780353,0.297195579901023,13,0.2612632407232195,1
my,0.03759014046358622,0.3069613746869883,25,0.2693712342234021,2
that,0.047719128051835424,0.266809146878336,27,0.2190900188265006,2
was,0.06475735279857142,0.383247995596434,44,0.3184906427978626,3
not,0.07374086065092669,0.2767845138561637,18,0.203043653205237,1
her,0.2284350943607798,0.5014792892735155,61,0.2730441949127357,1
