word,npmi-bias,her-npmi,her-count,himself-npmi,himself-count
yesterday,-0.194591366414323,0.2685996463334225,2,0.4631910127477455,1
camera,-0.19270329029344818,0.279575300322966,2,0.4722785906164142,1
did,-0.1862127695736501,0.2439632906823139,7,0.430176060255964,2
who,-0.1856184622448488,0.2473832666681558,13,0.4330017289130046,3
him,-0.18500075420848522,0.2516747534271817,7,0.4366755076356669,2
new,-0.18490469964821987,0.1440264262497326,3,0.3289311258979525,1
find,-0.18195869556132144,0.1690517468095208,3,0.3510104423708422,1
more,-0.181009952863288,0.2053860976432341,8,0.3863960505065221,2
he,-0.17939925658760703,0.2169650044358204,8,0.3963642610234274,2
trying,-0.1763855345535937,0.2129898294350052,3,0.3893753639885989,1
people,-0.17274209508203622,0.1914249348771838,9,0.36416702995922,2
here,-0.1702489909787494,0.2106835185083204,9,0.3809325094870698,2
all,-0.165183204333209,0.1761891522847942,10,0.3413723566180032,2
by,-0.1626859055649224,0.2732384424912961,16,0.4359243480562185,3
m,-0.16217136673059462,0.1525141957535644,4,0.314685562484159,1
but,-0.16209930244626922,0.2370907276619539,17,0.3991900301082231,3
murders,-0.1616561799707178,0.3141858043213968,3,0.4758419842921146,1
allen,-0.1609142963305797,0.318854681559876,3,0.4797689778904557,1
one,-0.1606500998816809,0.2134260975194016,10,0.3740761974010825,2
any,-0.16003928995888217,0.1726126005321763,4,0.3326518904910585,1
day,-0.1590378514811264,0.1817656222089806,4,0.340803473690107,1
before,-0.15569153575564731,0.2111794032630075,4,0.3668709390186548,1
after,-0.1552856695058666,0.2146347654857166,4,0.3699204349915832,1
saw,-0.1547977245104926,0.2187591471587523,4,0.3735568716692449,1
that,-0.1479986523480732,0.2770160561111925,38,0.4250147084592657,5
morning,-0.1450083708303676,0.2956749476619694,4,0.440683318492337,1
so,-0.1435601827632332,0.2172135406059457,12,0.3607737233691789,2
know,-0.14170509813273272,0.1792804113036016,5,0.3209855094363343,1
are,-0.1416895505668699,0.1631231594610624,13,0.3048127100279323,2
get,-0.14112409704785103,0.238000341474962,12,0.379124438522813,2
than,-0.14005543007731627,0.1956449068998041,5,0.3357003369771204,1
too,-0.1396076863076027,0.1999996132332502,5,0.3396072995408529,1
being,-0.13775181081591853,0.2176833516471089,5,0.3554351624630274,1
d,-0.1355439139910224,0.2380129576782225,5,0.3735568716692449,1
just,-0.13526674274705427,0.2236869708845268,13,0.3589537136315811,2
of,-0.13521097764584233,0.2797689633191215,54,0.4149799409649638,6
jew,-0.1342841750636718,0.2492978872382437,5,0.3835820623019155,1
guy,-0.1340908332488342,0.2510108546879141,5,0.3851016879367483,1
was,-0.1338309278914619,0.3328351192281375,40,0.4666660471195994,5
story,-0.1333990351286679,0.2570999883982474,5,0.3904990235269153,1
killed,-0.1289786612952103,0.2946424034800751,5,0.4236210647752854,1
www,-0.12552154059636378,0.1911443493589754,6,0.3166658899553392,1
think,-0.12439899488413864,0.2031402211473919,6,0.3275392160315305,1
be,-0.1215393337661988,0.2215683311451267,15,0.3431076649113255,2
show,-0.12086689445015322,0.2393436607688134,6,0.3602105552189666,1
negro,-0.11874985903357138,0.2600505665859994,6,0.3788004256195708,1
used,-0.1173774627033719,0.2731215608235434,6,0.3904990235269153,1
there,-0.11538206621824501,0.1539000498317594,7,0.2692821160500044,1
youtube,-0.11334859217126517,0.1788200420581942,7,0.2921686342294594,1
they,-0.11104921220232389,0.1975002517387618,17,0.3085494639410857,2
it,-0.10966856759098503,0.2699460434274812,39,0.3796146110184662,4
because,-0.1093884691647404,0.2245523690333376,7,0.333940838198078,1
where,-0.1084096337693613,0.2353605231009927,7,0.343770156870354,1
into,-0.10825488914939632,0.2370528577203672,7,0.3453077468697635,1
while,-0.104919712735218,0.2725231369167178,7,0.3774428496519358,1
in,-0.0992885257383328,0.3299084329061708,67,0.4291969586445036,6
from,-0.09911698045145378,0.2617489249914286,18,0.3608659054428824,2
were,-0.09724070547357383,0.2306932147345473,8,0.3279339202081211,1
his,-0.09594392211631611,0.246078750807768,8,0.3420226729240841,1
for,-0.09469112602973861,0.2607337133359058,31,0.3554248393656444,3
police,-0.0908329271096695,0.3037970866350933,8,0.3946300137447628,1
this,-0.08886501961557403,0.2824114098116168,32,0.3712764294271908,3
i,-0.08749476091877689,0.3062929030750106,74,0.3937876639937875,6
the,-0.08450192571003629,0.3060938797833475,91,0.3905958054933838,7
up,-0.07817782726334899,0.2130470667970571,10,0.2912248940604061,1
to,-0.07230803194341279,0.3192999623880746,81,0.3916079943314874,6
a,-0.07094237712534252,0.3333178609459928,81,0.4042602380713353,6
would,-0.0683214688403607,0.2239659819940241,11,0.2922874508343848,1
home,-0.0633649945703309,0.2968455606486357,11,0.3602105552189666,1
you,-0.056009526896693584,0.1495712009864474,13,0.205580727883141,1
said,-0.05418143524328278,0.3130620020099224,12,0.3672434372532052,1
not,-0.05265237168050141,0.2092292080021127,13,0.2618815796826141,1
or,-0.0522573551537803,0.2161485541888016,13,0.2684059093425819,1
with,-0.04447869006070909,0.2866996986030043,29,0.3311783886637134,2
me,-0.0430065934534648,0.2468247817837273,14,0.2898313752371921,1
if,-0.03664886130191672,0.2317570480406652,15,0.2684059093425819,1
have,-0.02486627258578311,0.1960756758723442,17,0.2209419484581273,1
out,-0.022148464179195082,0.2576776150231182,17,0.2798260792023133,1
t,-0.016265972796744493,0.2499058218246277,18,0.2661717946213722,1
n,-0.016132051860987706,0.2532382179918742,18,0.2693702698528619,1
my,0.022155972552051928,0.2734234983624097,25,0.2512675258103578,1
s,0.03137253744994817,0.2649013240242338,27,0.2335287865742856,1
is,0.038933058466760706,0.3116178497279379,54,0.2726847912611772,2
and,0.04858891711380142,0.3765288386234401,107,0.3279399215096387,4
white,0.05310974347212552,0.2852689252081899,32,0.2321591817360644,1
on,0.06104509775858494,0.2829926729921817,34,0.2219475752335968,1
