word,npmi-bias,himself-npmi,himself-count,them-npmi,them-count
it,0.08115255225538803,0.3796146110184662,4,0.2984620587630782,107
these,0.0812717902731461,0.3303530844874243,1,0.2490812942142782,21
into,0.0949456149234551,0.3453077468697635,1,0.2503621319463084,18
even,0.10038957890152078,0.3445342280246553,1,0.2441446491231345,17
in,0.1045351910892306,0.4291969586445036,6,0.324661767555273,146
anyone,0.10521794074700519,0.353924139493649,1,0.2487061987466438,16
find,0.10547711687287181,0.3510104423708422,1,0.2455333254979704,16
from,0.11153530892511287,0.3608659054428824,2,0.2493305965177695,36
too,0.1124558994347642,0.3396072995408529,1,0.2271514001060887,15
one,0.1132820728709425,0.3740761974010825,2,0.26079412453014,35
that,0.12028330122827002,0.4250147084592657,5,0.3047314072309957,104
more,0.12157043619722341,0.3863960505065221,2,0.2648256143092987,32
maybe,0.1296374450437403,0.3691428020004901,1,0.2395053569567498,12
but,0.13031856716694995,0.3991900301082231,3,0.2688714629412732,50
m,0.13509028835963713,0.314685562484159,1,0.1795952741245219,12
home,0.1382241814147094,0.3602105552189666,1,0.2219863738042572,11
where,0.1399802520455768,0.343770156870354,1,0.2037899048247772,11
show,0.14647925532047212,0.3602105552189666,1,0.2137312998984945,10
being,0.1470175730984467,0.3554351624630274,1,0.2084175893645807,10
this,0.1488250698272473,0.3712764294271908,3,0.2224513595999435,44
used,0.15174284766102059,0.3904990235269153,1,0.2387561758658947,9
before,0.164552450292104,0.3668709390186548,1,0.2023184887265508,8
reason,0.16975173635948082,0.408644140585384,1,0.2388924042259032,7
might,0.17063972411506928,0.4025714180635226,1,0.2319316939484533,7
who,0.17204076255702327,0.4330017289130046,3,0.2609609663559813,33
jew,0.1733168913900904,0.3835820623019155,1,0.2102651709118251,7
after,0.17515028068691593,0.3699204349915832,1,0.1947701543046673,7
here,0.1753183492062489,0.3809325094870698,2,0.2056141602808209,19
way,0.17981914351950803,0.4215089305525874,2,0.2416897870330794,17
seems,0.18218651231287492,0.4070560788344652,1,0.2248695665215903,6
everyone,0.18368732090427037,0.3971446174559424,1,0.213457296551672,6
god,0.18552423965012357,0.3845904272958965,1,0.1990661876457729,6
new,0.19281910493888757,0.3289311258979525,1,0.1361120209590649,6
wish,0.19357178935105737,0.4236210647752854,1,0.230049275424228,5
d,0.2014303858383456,0.3735568716692449,1,0.1721264858308993,5
said,0.2023335034949636,0.3672434372532052,1,0.1649099337582416,5
false,0.20378274190244444,0.4581012316049836,1,0.2543184897025392,4
live,0.20409406876934258,0.3545240253909668,1,0.1504299566216242,5
day,0.2059055464542253,0.340803473690107,1,0.1348979272358817,5
funny,0.2110217298768927,0.4194209129529767,1,0.208399183076084,4
either,0.21169844409525493,0.4155587891066234,1,0.2038603450113685,4
future,0.212889361463993,0.408644140585384,1,0.195754779121391,4
by,0.2134360201034013,0.4359243480562185,3,0.2224883279528172,22
trying,0.2160691878463974,0.3893753639885989,1,0.1733061761422015,4
guy,0.2167469574064901,0.3851016879367483,1,0.1683547305302582,4
saw,0.21852837659275529,0.3735568716692449,1,0.1550284950764896,4
despite,0.21854666458936467,0.4841504660179657,1,0.265603801428601,3
his,0.22303013783394743,0.3420226729240841,1,0.1189925350901367,4
avoid,0.2237378572666778,0.4605671502639468,1,0.236829292997269,3
gotten,0.22474899962352357,0.4557740224658173,1,0.2310250228422937,3
did,0.2260403996144996,0.430176060255964,2,0.2041356606414644,10
www,0.22626947403406758,0.3166658899553392,1,0.0903964159212716,4
straight,0.2268172245969645,0.4457447104334328,1,0.2189274858364683,3
he,0.23227036554809052,0.3963642610234274,2,0.1640938954753369,10
support,0.2351220663130909,0.4018609548850291,1,0.1667388885719382,3
couple,0.2358314952797329,0.3977926477519722,1,0.1619611524722393,3
police,0.236375997702723,0.3946300137447628,1,0.1582540160420398,3
negro,0.23900991810963618,0.3788004256195708,1,0.1397905075099346,3
something,0.2407793995943073,0.3676183468050116,1,0.1268389472107043,3
process,0.2431773212054682,0.4948704473088791,1,0.2516931261034109,2
was,0.2486750451388028,0.4666660471195994,5,0.2179910019807966,35
youtube,0.25079796648184527,0.2921686342294594,1,0.0413706677476141,3
suspect,0.2525363699147747,0.4557740224658173,1,0.2032376525510426,2
racism,0.2534961802417758,0.4514749232260029,1,0.1979787429842271,2
sign,0.255497944922942,0.4423065109024717,1,0.1868085659795297,2
drug,0.2561798698641476,0.4391174948061793,1,0.1829376249420317,2
immigration,0.2576720331239825,0.4320157480588263,1,0.1743437149348438,2
set,0.2591647533782686,0.4247318541129861,1,0.1655671007347175,2
killed,0.25938905154634806,0.4236210647752854,1,0.1642320132289373,2
tried,0.25981995599368235,0.4214747368165805,1,0.1616547808228981,2
e,0.2611703779074708,0.4146394211534098,1,0.153469043245939,2
having,0.26232756886149633,0.408644140585384,1,0.1463165717238877,2
lol,0.263864717574124,0.4004688922664861,1,0.1366041746923621,2
bad,0.2674760874418908,0.3801919606975366,1,0.1127158732556458,2
org,0.26763516904656437,0.3792604058314157,1,0.1116252367848513,2
forum,0.2678678192831182,0.3778917138589484,1,0.1100238945758302,2
while,0.2679438372480331,0.3774428496519358,1,0.1094990124039027,2
https,0.2688018540334367,0.3723187620458866,1,0.1035169080124499,2
stormfront,0.26993124716363326,0.3654043928935807,1,0.0954731457299474,2
iraq,0.2825004482357291,0.510319685506992,1,0.2278192372712629,1
agent,0.2825004482357291,0.510319685506992,1,0.2278192372712629,1
pieces,0.28695376249240256,0.4948704473088791,1,0.2079166848164765,1
aka,0.28695376249240256,0.4948704473088791,1,0.2079166848164765,1
rid,0.2930680153995084,0.4722785906164142,1,0.1792105752169058,1
protect,0.2966680953797922,0.4581012316049836,1,0.1614331362251914,1
arrested,0.300072843243334,0.4439918399175355,1,0.1439189966742015,1
russian,0.3004677809253215,0.4423065109024717,1,0.1418387299771502,1
russia,0.3004677809253215,0.4423065109024717,1,0.1418387299771502,1
moment,0.30084580168201736,0.440683318492337,1,0.1398375168103196,1
third,0.30120827522526517,0.4391174948061793,1,0.1379092195809141,1
scene,0.3015564112682213,0.4376048117284454,1,0.1360484004602241,1
ple,0.3041896204424805,0.4258694821794012,1,0.1216798617369207,1
nordic,0.30491592834206027,0.4225357727084399,1,0.1176198443663796,1
page,0.3057981653742562,0.4184260615531236,1,0.1126278961788674,1
story,0.3114138297683003,0.3904990235269153,1,0.079085193758615,1
him,0.32025513754816415,0.4366755076356669,2,0.1164203700875028,3
friend,0.3355054329614557,0.4868381071024025,2,0.1513326741409468,2
