word,npmi-bias,gay-npmi,gay-count,man-npmi,man-count
seen,0.05743798035151432,0.2757972276948492,1,0.2183592473433349,2
come,0.057718411246406615,0.2667991684867617,1,0.2090807572403551,2
right,0.057912655969312,0.2603668053595391,1,0.2024541493902271,2
home,0.057923332747269435,0.260008194091471,1,0.2020848613442016,2
off,0.057954909949980205,0.2589443973588688,1,0.2009894874088886,2
much,0.05809394624156719,0.2542023775907844,1,0.1961084313492172,2
country,0.058112775037441,0.2535527207399053,1,0.1954399457024643,2
same,0.058229553624685904,0.2494820040966032,1,0.1912524504719173,2
years,0.0584379720188265,0.2420298108372469,1,0.1835918388184204,2
very,0.05853168026703931,0.2385957277700314,1,0.1800640475029921,2
too,0.058552439364551706,0.2378275985166722,1,0.1792751591521205,2
many,0.05855929060532239,0.2375734890162631,1,0.1790141984109407,2
want,0.05872034003795831,0.2315117039980811,1,0.1727913639601228,2
any,0.05875038658676718,0.2303613121439393,1,0.1716109255571721,2
school,0.05883669862062951,0.2270209148481517,1,0.1681842162275222,2
new,0.05885331180507261,0.2263717204801999,1,0.1675184086751273,2
re,0.064430623981242,0.3179234831348536,2,0.2534928591536116,4
their,0.0673749015451427,0.2363630406174499,2,0.1689881390723072,4
n,0.06835640163523271,0.3410878945627996,5,0.2727314929275669,11
video,0.06866933048854151,0.3586702531879376,3,0.2900009226993961,6
because,0.069439486402535,0.3435654563470742,3,0.2741259699445392,6
if,0.0723582099252775,0.2779347513604833,3,0.2055765414352058,6
not,0.07261138242606921,0.2713904950213734,3,0.1987791125953042,6
of,0.07386617721664718,0.4214432869429458,17,0.3475771097262986,43
some,0.07441524739605299,0.3464081111903415,4,0.2719928637942885,8
people,0.07860216044130103,0.3522953897597632,5,0.2736932293184622,10
t,0.07940379660667951,0.3380134679518958,5,0.2586096713452163,10
full,0.0870361453226538,0.3755997575327099,2,0.2885636122100561,3
who,0.0888348343425302,0.34107328384903,4,0.2522384495064998,7
first,0.09032434450394483,0.3231548763674664,2,0.2328305318635216,3
do,0.09054478668463428,0.311483384651383,4,0.2209385979667487,7
say,0.09151993515591758,0.3013652923481402,2,0.2098453571922226,3
my,0.0920967578590687,0.3236639425006842,5,0.2315671846416155,9
vacation,0.10239277946248643,0.4150039721576905,1,0.3126111926952041,1
gypsy,0.10239277946248643,0.4150039721576905,1,0.3126111926952041,1
constantly,0.10363847950570021,0.4009934769690955,1,0.2973549974633953,1
suspected,0.1041135696830604,0.3954892471925377,1,0.2913756775094773,1
beating,0.10488919365991128,0.3862954197874064,1,0.2814062261274951,1
marry,0.10521458251591509,0.382357289307344,1,0.2771427067914289,1
bulgarian,0.10521458251591509,0.382357289307344,1,0.2771427067914289,1
famous,0.10577767103222374,0.3754217905526198,1,0.2696441195203961,1
protect,0.1064663549247174,0.3667184996611395,1,0.2602521447364221,1
lies,0.10685213607104643,0.3617297305324054,1,0.254877594461359,1
last,0.10717126912122038,0.3641396245458601,3,0.2569683554246397,4
btw,0.10719449725255459,0.3572300612390683,1,0.2500355639865137,1
criminal,0.10735220302796727,0.3551335293325131,1,0.2477813263045458,1
glad,0.1084899989641396,0.3395282081788679,1,0.2310382092147283,1
running,0.10869313692010768,0.3366469365003771,1,0.2279537995802694,1
12,0.10897382433217889,0.3326143500559421,1,0.2236405257237632,1
york,0.10914708030796108,0.3300944335676952,1,0.2209473532597341,1
b,0.1093891067186705,0.3265334751645087,1,0.2171443684458382,1
genocide,0.10946550761748641,0.3253992364343532,1,0.2159337288168668,1
9,0.109819897217451,0.3200719251434852,1,0.2102520279260342,1
head,0.109819897217451,0.3200719251434852,1,0.2102520279260342,1
local,0.109819897217451,0.3200719251434852,1,0.2102520279260342,1
face,0.10988582796514837,0.3190684929780839,1,0.2091826650129355,1
job,0.10995027665690052,0.3180837706829696,1,0.2081334940260691,1
teacher,0.1103090927700707,0.3125297991722355,1,0.2022207064021648,1
whole,0.11047279410099009,0.3099541791864231,1,0.199481385085433,1
media,0.11052531368413429,0.3091221134457633,1,0.198596799761629,1
culture,0.11062749391788898,0.307495124141846,1,0.196867630223957,1
done,0.11072607464082279,0.3059150773895706,1,0.1951890027487478,1
beautiful,0.11072607464082279,0.3059150773895706,1,0.1951890027487478,1
when,0.11094803913772003,0.3108573159478735,3,0.1999092768101535,4
called,0.1109582566755381,0.302152290583169,1,0.1911940339076309,1
better,0.1116956535992456,0.2897877239584356,1,0.17809207035919,1
god,0.1118920756139812,0.2863788706607983,1,0.1744867950468171,1
please,0.11201538569415478,0.2842121067918283,1,0.1721967210976735,1
negro,0.1122459023982916,0.2801038173399138,1,0.1678579149416222,1
use,0.11243210968104211,0.2767278987178216,1,0.1642957890367795,1
start,0.1124829335392811,0.2757972276948492,1,0.1633142941555681,1
nothing,0.11255732923328418,0.2744275854130094,1,0.1618702561797252,1
ever,0.11318189784414673,0.2625623962620298,1,0.1493804984178831,1
own,0.11361651718953061,0.2538767295436401,1,0.1402602123541095,1
over,0.11408972162072778,0.2439548678123412,1,0.1298651461916134,1
hall,0.1142689469400206,0.4432872774575441,2,0.3290183305175235,2
those,0.11453469061080168,0.2341126512529582,1,0.1195779606421565,1
were,0.11491240566783761,0.2253029943037516,1,0.110390588635914,1
think,0.1149300519807238,0.2248800432261317,1,0.1099499912454079,1
they,0.1163402522262664,0.3415974027488728,7,0.2252571505226064,11
your,0.1176194198251895,0.3503562605906409,5,0.2327368407654514,7
proud,0.1207487814285047,0.3789443112828268,2,0.2581955298543221,2
hell,0.12239364548712792,0.3602472746417441,2,0.2378536291546162,2
may,0.1226920751280409,0.3567200648421205,2,0.2340279897140796,2
from,0.12287877677520898,0.3930186576832394,7,0.2701398809080304,10
even,0.12622656789496858,0.3109417374610052,2,0.1847151695660366,2
these,0.12722500572801998,0.2963068345018833,2,0.1690818287738633,2
then,0.1273079622184676,0.295047611471362,2,0.1677396492528944,2
how,0.1278378889852417,0.2868299306696957,2,0.158992041684454,2
know,0.12784953919957098,0.2866457459731065,2,0.1587962067735355,2
is,0.1323473199394925,0.4381859402767081,16,0.3058386203372156,27
are,0.1428373582651724,0.374511655462606,9,0.2316742971974336,12
lesbian,0.16249146111472929,0.4667895282688523,2,0.304298067154123,1
race,0.1701012047772647,0.3478252474003401,3,0.1777240426230754,2
well,0.1703115053820072,0.3457723574452653,3,0.1754608520632581,2
high,0.1773768418607607,0.3567200648421205,2,0.1793432229813598,1
family,0.17756130225419067,0.3550373950852266,2,0.1774760928310359,1
group,0.1780220039321509,0.3507832518628138,2,0.1727612479306629,1
friends,0.17813074491007158,0.349768091614246,2,0.1716373467041744,1
its,0.18211015677690806,0.3091159590657023,2,0.1270058022887942,1
anti,0.18721688635256256,0.4487934398911301,5,0.2615765535385675,3
city,0.1959926560749876,0.4264274975330384,4,0.2304348414580508,2
pride,0.2456266028742538,0.4527303153136059,4,0.2071037124393521,1
gay,0.48835557573280747,0.7119961014565707,29,0.2236405257237632,1
