word,npmi-bias,he-npmi,he-count,himself-npmi,himself-count
www,-0.23891895900633067,0.0777469309490085,2,0.3166658899553392,1
live,-0.23366996271721588,0.1208540626737509,2,0.3545240253909668,1
story,-0.2279431318838033,0.162555891643112,2,0.3904990235269153,1
used,-0.2279431318838033,0.162555891643112,2,0.3904990235269153,1
lol,-0.22622598930911308,0.174242902957373,2,0.4004688922664861,1
either,-0.22351803813041912,0.1920407509762043,2,0.4155587891066234,1
immigration,-0.22041362263735412,0.2116021254214722,2,0.4320157480588263,1
million,-0.21871455829993489,0.2219687601924021,2,0.440683318492337,1
morning,-0.21871455829993489,0.2219687601924021,2,0.440683318492337,1
fun,-0.2183914275955485,0.2239150833069232,2,0.4423065109024717,1
film,-0.2169449150132111,0.2325337179490334,2,0.4494786329622445,1
suspect,-0.21564993108086708,0.2401240913849502,2,0.4557740224658173,1
yesterday,-0.2140937281428944,0.2490972846048511,2,0.4631910127477455,1
murders,-0.2113627117953742,0.2644792724967404,2,0.4758419842921146,1
by,-0.20520061416259458,0.2307237338936239,14,0.4359243480562185,3
anyone,-0.20265336430012798,0.151270775193521,3,0.353924139493649,1
way,-0.20015701846941514,0.2213519120831723,8,0.4215089305525874,2
d,-0.1998353452217278,0.1737215264475171,3,0.3735568716692449,1
friend,-0.19887394224683652,0.287964164855566,7,0.4868381071024025,2
might,-0.19533498851494788,0.2072364295485747,3,0.4025714180635226,1
having,-0.1943418125555166,0.2143023280298674,3,0.408644140585384,1
funny,-0.19253520553840697,0.2268857074145697,3,0.4194209129529767,1
killed,-0.1918157526641792,0.2318053121111062,3,0.4236210647752854,1
scene,-0.1893580475516943,0.2482467641767511,3,0.4376048117284454,1
third,-0.18908641067234178,0.2500310841338375,3,0.4391174948061793,1
ass,-0.1875474735196152,0.2600238112154098,3,0.447571284735025,1
here,-0.1859202183210489,0.1950122911660209,10,0.3809325094870698,2
who,-0.1856694604847094,0.2473322684282952,17,0.4330017289130046,3
were,-0.18276075544528442,0.1451731647628367,4,0.3279339202081211,1
any,-0.18219160882476007,0.1504602816662984,4,0.3326518904910585,1
being,-0.17931750582577582,0.1761176566372516,4,0.3554351624630274,1
show,-0.1786885431652152,0.1815220120537514,4,0.3602105552189666,1
stormfront,-0.17799396090580247,0.1874104319877782,4,0.3654043928935807,1
something,-0.1776945492727712,0.1899237975322404,4,0.3676183468050116,1
support,-0.1728078598017592,0.2290530950832699,4,0.4018609548850291,1
get,-0.16834767868569742,0.2107767598371156,12,0.379124438522813,2
more,-0.1673133572471121,0.21908269325941,12,0.3863960505065221,2
racism,-0.1648617754213041,0.2866131478046988,4,0.4514749232260029,1
these,-0.1636980011127609,0.1666550833746634,5,0.3303530844874243,1
people,-0.1623505071718679,0.2018165227873521,13,0.36416702995922,2
find,-0.1612705660815275,0.1897398762893147,5,0.3510104423708422,1
before,-0.1593048181645919,0.2075661208540629,5,0.3668709390186548,1
saw,-0.1584494392220563,0.2151074324471886,5,0.3735568716692449,1
bad,-0.15758482292347709,0.2226071377740595,5,0.3801919606975366,1
god,-0.15700299233316167,0.2275874349627348,5,0.3845904272958965,1
trying,-0.1563621714555697,0.2330131925330292,5,0.3893753639885989,1
youtube,-0.15178321226621277,0.1403854219632466,6,0.2921686342294594,1
there,-0.1399075583236812,0.1293745577263232,7,0.2692821160500044,1
m,-0.13576105788445533,0.1789245045997037,7,0.314685562484159,1
but,-0.13554588360315523,0.2636441465050679,28,0.3991900301082231,3
new,-0.1343461433222808,0.1945849825756717,7,0.3289311258979525,1
home,-0.1310463065139154,0.2291642487050512,7,0.3602105552189666,1
while,-0.12911415895691492,0.2483286906950209,7,0.3774428496519358,1
jew,-0.12840607138684268,0.2551759909150728,7,0.3835820623019155,1
this,-0.1268953052139933,0.2443811242131975,31,0.3712764294271908,3
know,-0.1229675242038217,0.1980179852325126,8,0.3209855094363343,1
in,-0.1223830172453978,0.3068139413991058,76,0.4291969586445036,6
think,-0.12234779852230221,0.2051914175092283,8,0.3275392160315305,1
that,-0.12215252465197379,0.3028621838072919,60,0.4250147084592657,5
than,-0.12156173971339487,0.2141385972637255,8,0.3357003369771204,1
maybe,-0.11817369640992292,0.2509691055905672,8,0.3691428020004901,1
are,-0.11749300046352232,0.18731970956441,21,0.3048127100279323,2
they,-0.11714800071745007,0.1914014632236356,21,0.3085494639410857,2
negro,-0.11714505960368377,0.261655366015887,8,0.3788004256195708,1
i,-0.11334509331926002,0.2804425706745275,83,0.3937876639937875,6
one,-0.11062491152509879,0.2634512858759837,21,0.3740761974010825,2
day,-0.1102201017158172,0.2305833719742898,9,0.340803473690107,1
even,-0.10987211944015887,0.2346621085844964,9,0.3445342280246553,1
after,-0.10742596505959684,0.2624944699319864,9,0.3699204349915832,1
did,-0.1043201986113873,0.3258558616445767,21,0.430176060255964,2
just,-0.10207847175327439,0.2568752418783067,23,0.3589537136315811,2
where,-0.100096499403908,0.243673657466446,10,0.343770156870354,1
it,-0.0969385499578232,0.282676061060643,56,0.3796146110184662,4
was,-0.09672625275808111,0.3699397943615183,69,0.4666660471195994,5
of,-0.09596284730835564,0.3190170936566082,91,0.4149799409649638,6
too,-0.0913958916128414,0.2482114079280115,11,0.3396072995408529,1
all,-0.08969601720223658,0.2516763394157666,26,0.3413723566180032,2
for,-0.0871887052048615,0.2682361341607829,43,0.3554248393656444,3
from,-0.08364960904790059,0.2772162963949818,27,0.3608659054428824,2
be,-0.0727391303703957,0.2703685345409298,30,0.3431076649113255,2
guy,-0.0717537292746348,0.3133479586621135,13,0.3851016879367483,1
so,-0.0637406041366167,0.2970331192325622,32,0.3607737233691789,2
into,-0.0605898194579626,0.2847179274118009,15,0.3453077468697635,1
said,-0.05916155602618228,0.3080818812270229,15,0.3672434372532052,1
because,-0.05476817705271042,0.2791726611453676,16,0.333940838198078,1
n,-0.05200265870249368,0.2173676111503682,17,0.2693702698528619,1
t,-0.04015624174908819,0.226015552872284,19,0.2661717946213722,1
to,-0.04013261483912972,0.3514753794923577,128,0.3916079943314874,6
would,-0.03895537136460736,0.2533320794697774,19,0.2922874508343848,1
him,-0.038496074275830516,0.3981794333598364,38,0.4366755076356669,2
me,-0.033520048099607125,0.256311327137585,20,0.2898313752371921,1
the,-0.030944594117281787,0.359651211376102,159,0.3905958054933838,7
out,-0.0285964641881728,0.2512296150141405,21,0.2798260792023133,1
a,-0.024479453233067938,0.3797807848382674,139,0.4042602380713353,6
up,-0.023025895273403596,0.2681989987870025,22,0.2912248940604061,1
or,-0.018882361085269805,0.2495235482573121,23,0.2684059093425819,1
with,-0.017405372657416207,0.3137730160062972,47,0.3311783886637134,2
not,0.011694214633732769,0.2735757943163469,30,0.2618815796826141,1
you,0.018529239473998205,0.2241099673571392,32,0.205580727883141,1
have,0.033470802139704214,0.2544127505978315,36,0.2209419484581273,1
white,0.03356501993354602,0.2657242016696104,36,0.2321591817360644,1
my,0.03368473021905072,0.2849522560294085,36,0.2512675258103578,1
and,0.03904360349971714,0.3669835250093558,134,0.3279399215096387,4
if,0.043621741163459904,0.3120276505060418,39,0.2684059093425819,1
his,0.059872872096291385,0.4018955450203755,45,0.3420226729240841,1
is,0.06450620659087763,0.3371909978520548,84,0.2726847912611772,2
on,0.07893064400473962,0.3008782192383364,51,0.2219475752335968,1
s,0.10087892235279389,0.3344077089270795,60,0.2335287865742856,1
he,0.2560133241206927,0.6523775851441201,292,0.3963642610234274,2
