word,npmi-bias,gay-npmi,gay-count,their-npmi,their-count
schools,0.03833065766545779,0.2880583185647423,1,0.2497276608992845,13
people,0.03858088241040353,0.3522953897597632,5,0.3137145073493597,73
non,0.039208728123898307,0.2603668053595391,1,0.2211580772356408,13
over,0.03970794155365548,0.2439548678123412,1,0.2042469262586857,13
any,0.04010950344918529,0.2303613121439393,1,0.190251808694754,13
no,0.0412399961844824,0.2672907979249346,2,0.2260508017404522,27
who,0.041523358712737934,0.34107328384903,4,0.2995499251362921,56
you,0.04325871178809962,0.2794372060610774,5,0.2361784942729778,72
one,0.0454087857730511,0.2563483149879553,2,0.2109395292149042,26
with,0.0489823878668354,0.3638724653524244,7,0.314890077485589,97
because,0.04898640872325011,0.3435654563470742,3,0.2945790476238241,38
as,0.04937825440455229,0.3056104596524184,4,0.2562322052478661,53
has,0.05230736641964229,0.2834110779089208,2,0.2311037114892785,24
use,0.05297615451039411,0.2767278987178216,1,0.2237517442074275,11
watch,0.05385705732437532,0.2535527207399053,1,0.19969566341553,11
great,0.05402881226670689,0.2488777721240473,1,0.1948489598573404,11
day,0.0543811488896844,0.2391127293173303,1,0.1847315804276459,11
want,0.05464939548280762,0.2315117039980811,1,0.1768623085152735,11
then,0.055945312662648905,0.295047611471362,2,0.2391022988087131,23
children,0.05848838300606468,0.3787406693376116,3,0.3202522863315469,34
when,0.059166278783045034,0.3108573159478735,3,0.2516910371648285,35
of,0.06031602008212161,0.4214432869429458,17,0.3611272668608242,240
god,0.060557889495727824,0.2863788706607983,1,0.2258209811650705,10
come,0.06139788119812073,0.2667991684867617,1,0.205401287288641,10
same,0.062105688619221416,0.2494820040966032,1,0.1873763154773818,10
years,0.062400161616590705,0.2420298108372469,1,0.1796296492206562,10
government,0.06860724921390937,0.2993151866511928,1,0.2307079374372834,9
seen,0.06974470721564752,0.2757972276948492,1,0.2060525204792017,9
too,0.07142896185066772,0.2378275985166722,1,0.1663986366660045,9
race,0.07289481351509358,0.3478252474003401,3,0.2749304338852465,30
t,0.07498280717408262,0.3380134679518958,5,0.2630306607778132,54
liberals,0.07635524500145119,0.3300944335676952,1,0.253739188566244,8
care,0.0775673806657175,0.3091221134457633,1,0.2315547327800458,8
n,0.08359397099333998,0.3410878945627996,5,0.2574939235694596,50
was,0.08448960341366901,0.2944540472351808,4,0.2099644438215118,39
ones,0.08755632460350582,0.3180837706829696,1,0.2305274460794638,7
media,0.0881147398938576,0.3091221134457633,1,0.2210073735519057,7
though,0.08870926375264226,0.2993151866511928,1,0.2106059228985505,7
believe,0.0887907329843691,0.2979486935218571,1,0.209157960537488,7
racist,0.08913113236008219,0.2921771536484656,1,0.2030460212883834,7
s,0.08948579640918353,0.3521118307945456,7,0.2626260343853621,71
say,0.0896259435127435,0.3013652923481402,2,0.2117393488353967,16
negro,0.0898239117949402,0.2801038173399138,1,0.1902799055449736,7
some,0.09559808506727308,0.3464081111903415,4,0.2508100261230684,34
force,0.098034054584407,0.338066692043886,1,0.240032637459479,6
face,0.09938913115577028,0.3190684929780839,1,0.2196793618223136,6
re,0.10051138448278388,0.3179234831348536,2,0.2174120986520697,14
called,0.10053189230693271,0.302152290583169,1,0.2016203982762363,6
better,0.10132932292346991,0.2897877239584356,1,0.1884584010349657,6
place,0.10205070248781159,0.2781514807557532,1,0.1761007782679416,6
nothing,0.10227562280249197,0.2744275854130094,1,0.1721519626105174,6
ever,0.10297311487008931,0.2625623962620298,1,0.1595892813919405,6
complain,0.10750417127696138,0.3862954197874064,1,0.278791248510445,5
values,0.10926817089302443,0.3667184996611395,1,0.2574503287681151,5
m,0.1096848929552238,0.280151186098834,2,0.1704662931436102,13
events,0.11043679833697398,0.3531265776680795,1,0.2426897793311055,5
sort,0.1111800464853292,0.3441922898187163,1,0.2330122433333871,5
action,0.11156022556820991,0.3395282081788679,1,0.227967982610658,5
laugh,0.11167825369441212,0.338066692043886,1,0.2263884383494739,5
sick,0.11179240573583688,0.3366469365003771,1,0.2248545307645402,5
wants,0.112765066221192,0.3242893202525402,1,0.2115242540313482,5
local,0.11308844143806021,0.3200719251434852,1,0.206983483705425,5
behind,0.11316473990394108,0.3190684929780839,1,0.2059037530741428,5
job,0.11323937625242811,0.3180837706829696,1,0.2048443944305415,5
turn,0.11323937625242811,0.3180837706829696,1,0.2048443944305415,5
party,0.1133839360301589,0.3161675396474623,1,0.2027836036173034,5
future,0.1136558975501501,0.3125297991722355,1,0.1988739016220854,5
together,0.11503229306142648,0.2934101736311624,1,0.1783778805697359,5
work,0.1158032349568758,0.2821223288815718,1,0.166319093924696,5
your,0.11901441831970291,0.3503562605906409,5,0.231341842270938,36
new,0.11916173950409241,0.2263717204801999,1,0.1072099809761075,5
date,0.12601417354995792,0.359425265523159,1,0.2334110919732011,4
this,0.12741269071574207,0.3672135959579981,8,0.239800905242256,61
well,0.1275136818249939,0.3457723574452653,3,0.2182586756202714,17
huge,0.1275703326770895,0.342587805514648,1,0.2150174728375585,4
wo,0.1284534296996931,0.3326143500559421,1,0.204160920356249,4
b,0.1289778010782278,0.3265334751645087,1,0.1975556740862809,4
head,0.1295233634726714,0.3200719251434852,1,0.1905485616708138,4
across,0.12960701185524978,0.3190684929780839,1,0.1894614811228341,4
100,0.1298472208662034,0.3161675396474623,1,0.1863203187812589,4
blood,0.13007280317286257,0.3134163766099798,1,0.1833435734371172,4
its,0.13032615817994048,0.3091159590657023,2,0.1787898008857618,10
done,0.13067689593643378,0.3059150773895706,1,0.1752381814531368,4
nice,0.13114108044788172,0.3000110950503858,1,0.1688700146025041,4
crime,0.13150352627327871,0.2953110512667621,1,0.1638075249934834,4
proud,0.1324702846719833,0.3789443112828268,2,0.2464740266108435,9
long,0.1330700569792431,0.2739778398397057,1,0.1409077828604626,4
man,0.13354098525409458,0.2671990310042123,1,0.1336580457501177,4
my,0.1339921348066147,0.3236639425006842,5,0.1896718076940695,32
friends,0.1354567922211834,0.349768091614246,2,0.2143112993930626,9
first,0.13795165359728823,0.3231548763674664,2,0.1852032227701782,9
is,0.13840557584202517,0.4381859402767081,16,0.2997803644346829,134
vile,0.14367868782870177,0.382357289307344,1,0.2386786014786422,3
raise,0.1447971351987113,0.372327527646395,1,0.2275303924476837,3
keep,0.14503211110446498,0.349768091614246,2,0.204735980509781,8
island,0.1454073647892218,0.3667184996611395,1,0.2213111348719177,3
exist,0.14594095243746164,0.3617297305324054,1,0.2157887780949438,3
realize,0.14594095243746164,0.3617297305324054,1,0.2157887780949438,3
from,0.1465467798179521,0.3930186576832394,7,0.2464718778652873,42
apparently,0.146633261367225,0.3551335293325131,1,0.2085002679652881,3
cities,0.14703882997560283,0.3512013387422007,1,0.2041625087665979,3
forced,0.14703882997560283,0.3512013387422007,1,0.2041625087665979,3
below,0.1474087024017244,0.3475694225157413,1,0.2001607201140169,3
immigration,0.1483550421497966,0.338066692043886,1,0.1897116498940894,3
running,0.14849377564785798,0.3366469365003771,1,0.1881531608525191,3
kill,0.1490063739278438,0.3313387637323238,1,0.18233238980448,3
genocide,0.1495685567237421,0.3253992364343532,1,0.1758306797106111,3
law,0.1496722807866116,0.3242893202525402,1,0.1746170394659286,3
pictures,0.1500625909823626,0.3200719251434852,1,0.1700093341611226,3
20,0.150332467229088,0.3171170182430329,1,0.1667845510139449,3
sorry,0.15050284242728137,0.3152346794336491,1,0.1647318370063677,3
true,0.1508995723786546,0.310799181717965,1,0.1598996093393104,3
men,0.15206806701706818,0.2972776711293206,1,0.1452096041122524,3
brown,0.15264083518709678,0.2903758635860459,1,0.1377350283989491,3
young,0.15290563250592198,0.3747963099624649,2,0.2218906774565429,7
start,0.1537983902632415,0.2757972276948492,1,0.1219988374316077,3
his,0.159843888073606,0.3083489917165534,2,0.1485051036429474,7
support,0.16541123518650946,0.3702186933072549,2,0.2048074581207454,6
unique,0.16630800613352434,0.4150039721576905,1,0.2486959660241662,2
family,0.16719797683196577,0.3550373950852266,2,0.1878394182532608,6
offspring,0.1673759649984786,0.4073755921177137,1,0.2399996271192351,2
group,0.16768222547645467,0.3507832518628138,2,0.1831010263863591,6
adopt,0.1682501474903472,0.4009934769690955,1,0.2327433294787483,2
suspected,0.168990012029623,0.3954892471925377,1,0.2264992351629147,2
something,0.1694388941264223,0.3347887912404371,2,0.1653498971140148,6
homosexual,0.1701968765219474,0.3862954197874064,1,0.216098543265459,2
entertainment,0.1701968765219474,0.3862954197874064,1,0.216098543265459,2
dating,0.17070279201585517,0.382357289307344,1,0.2116544972914888,2
supporting,0.17070279201585517,0.382357289307344,1,0.2116544972914888,2
married,0.17070279201585517,0.382357289307344,1,0.2116544972914888,2
issue,0.17157773045079722,0.3754217905526198,1,0.2038440601018226,2
rights,0.1719615008622314,0.372327527646395,1,0.2003660267841636,2
old,0.1722915150550415,0.306593848210513,2,0.1343023331554715,6
foot,0.1723165590803673,0.3694352282631972,1,0.1971186691828299,2
identity,0.1723165590803673,0.3694352282631972,1,0.1971186691828299,2
protect,0.1726468455384681,0.3667184996611395,1,0.1940716541226714,2
opinion,0.1726468455384681,0.3667184996611395,1,0.1940716541226714,2
soldiers,0.1726468455384681,0.3667184996611395,1,0.1940716541226714,2
cultural,0.17295554137239422,0.3641558927637921,1,0.1912003513913979,2
poster,0.17295554137239422,0.3641558927637921,1,0.1912003513913979,2
lies,0.17324525188572362,0.3617297305324054,1,0.1884844786466818,2
inside,0.17351813771997682,0.359425265523159,1,0.1859071278031822,2
btw,0.1737760106629784,0.3572300612390683,1,0.1834540505760899,2
longer,0.17425263125763607,0.3531265776680795,1,0.1788739464104434,2
he,0.1746296582179624,0.2808250738851172,2,0.1061954156671548,6
san,0.17468494411098143,0.3493509573384713,1,0.1746660132274899,2
drug,0.17508032632257053,0.3458514332334042,1,0.1707711069108337,2
middle,0.17526599460343611,0.3441922898187163,1,0.1689262952152802,2
society,0.1759415646535373,0.338066692043886,1,0.1621251273903487,2
mostly,0.1759415646535373,0.338066692043886,1,0.1621251273903487,2
near,0.17773214181150102,0.321094855033611,1,0.14336271322211,2
9,0.1778362687608494,0.3200719251434852,1,0.1422356563826358,2
open,0.17837106226739657,0.377244963889482,2,0.1988739016220854,5
teacher,0.1785907482189464,0.3125297991722355,1,0.1339390509532891,2
000,0.17867649913571132,0.3116575655709478,1,0.1329810664352365,2
whole,0.1788430652843967,0.3099541791864231,1,0.1311111139020264,2
may,0.1809515715963008,0.3567200648421205,2,0.1757684932458197,5
please,0.1812165789140261,0.2842121067918283,1,0.1029955278778022,2
openly,0.1857947373942797,0.436757189926077,2,0.2509624525317973,4
last,0.19069945205888486,0.3641396245458601,3,0.1734401724869752,8
community,0.1946256191292431,0.3789443112828268,2,0.1843186921535837,4
high,0.1975827264864783,0.3567200648421205,2,0.1591373383556422,4
100yrs,0.20147032390619868,0.4583216697345582,1,0.2568513458283595,1
blasphemied,0.20147032390619868,0.4583216697345582,1,0.2568513458283595,1
sends,0.2053054171659302,0.4374955473279124,1,0.2321901301619822,1
ethnically,0.2053054171659302,0.4374955473279124,1,0.2321901301619822,1
supper,0.2053054171659302,0.4374955473279124,1,0.2321901301619822,1
parody,0.2053054171659302,0.4374955473279124,1,0.2321901301619822,1
smashing,0.2053054171659302,0.4374955473279124,1,0.2321901301619822,1
cleansed,0.2053054171659302,0.4374955473279124,1,0.2321901301619822,1
sponsored,0.20756312232613688,0.4245535929759084,1,0.2169904706497715,1
desire,0.20756312232613688,0.4245535929759084,1,0.2169904706497715,1
realizing,0.20756312232613688,0.4245535929759084,1,0.2169904706497715,1
dying,0.20756312232613688,0.4245535929759084,1,0.2169904706497715,1
practically,0.20916799069208772,0.4150039721576905,1,0.2058359814656028,1
crying,0.20916799069208772,0.4150039721576905,1,0.2058359814656028,1
destroying,0.20916799069208772,0.4150039721576905,1,0.2058359814656028,1
scenes,0.20916799069208772,0.4150039721576905,1,0.2058359814656028,1
yr,0.21041300866812207,0.4073755921177137,1,0.1969625834495916,1
constantly,0.211429538579236,0.4009934769690955,1,0.1895639383898595,1
cry,0.211429538579236,0.4009934769690955,1,0.1895639383898595,1
throat,0.211429538579236,0.4009934769690955,1,0.1895639383898595,1
yrs,0.211429538579236,0.4009934769690955,1,0.1895639383898595,1
important,0.2121831884080874,0.3988216212399497,2,0.1866384328318623,3
alive,0.2130304655863852,0.3906388455418885,1,0.1776083799555033,1
francisco,0.2136842857980301,0.3862954197874064,1,0.1726111339893763,1
regardless,0.2136842857980301,0.3862954197874064,1,0.1726111339893763,1
held,0.2136842857980301,0.3862954197874064,1,0.1726111339893763,1
council,0.2136842857980301,0.3862954197874064,1,0.1726111339893763,1
destroyed,0.2136842857980301,0.3862954197874064,1,0.1726111339893763,1
target,0.2136842857980301,0.3862954197874064,1,0.1726111339893763,1
alliance,0.21426808656513946,0.382357289307344,1,0.1680892027422045,1
famous,0.2152754685913229,0.3754217905526198,1,0.1601463219612969,1
wtf,0.2152754685913229,0.3754217905526198,1,0.1601463219612969,1
full,0.2157001481933995,0.3755997575327099,2,0.1598996093393104,3
drugs,0.21571639681614138,0.372327527646395,1,0.1566111308302536,1
70,0.21612381015957638,0.3694352282631972,1,0.1533114181036208,1
sexual,0.21685569821361192,0.3641558927637921,1,0.1473001945501802,1
bbc,0.21718695737047342,0.3617297305324054,1,0.144542773161932,1
strange,0.21718695737047342,0.3617297305324054,1,0.144542773161932,1
fine,0.21718695737047342,0.3617297305324054,1,0.144542773161932,1
classes,0.2177928717954155,0.3572300612390683,1,0.1394371894436528,1
hell,0.2178632347068534,0.3602472746417441,2,0.1423840399348907,3
christ,0.21807144235867898,0.3551335293325131,1,0.1370620869738341,1
moment,0.219056787964882,0.3475694225157413,1,0.1285126345508593,1
mr,0.219056787964882,0.3475694225157413,1,0.1285126345508593,1
glad,0.2200705748708605,0.3395282081788679,1,0.1194576333080074,1
nationalists,0.2205938532051731,0.3352664448180075,1,0.1146725916128344,1
section,0.22075680752878307,0.3339229422135849,1,0.1131661346848018,1
12,0.2209146041691478,0.3326143500559421,1,0.1116997458867943,1
brother,0.2213599377632906,0.3288797483035058,1,0.1075198105402152,1
book,0.2223809773948624,0.3200719251434852,1,0.0976909477486228,1
p,0.22249470096442375,0.3190684929780839,1,0.0965737920136601,1
wrong,0.2227143527852838,0.3171170182430329,1,0.0944026654577491,1
war,0.22312538860268227,0.3134163766099798,1,0.0902909880072975,1
beautiful,0.22393655540064958,0.3059150773895706,1,0.081978521988921,1
welcome,0.2255813260677353,0.2897877239584356,1,0.0642063978907003,1
youth,0.2420185869515117,0.3853813001736217,2,0.14336271322211,2
video,0.24549454598658482,0.3586702531879376,3,0.1131757072013528,4
pride,0.248925716977658,0.4527303153136059,4,0.2038045983359479,5
anti,0.254172434281094,0.4487934398911301,5,0.1946210056100361,7
homosexuality,0.2689278741872574,0.4850264174527164,3,0.216098543265459,2
city,0.2710269267508196,0.4264274975330384,4,0.1554005707822188,4
gays,0.27438119598338917,0.4469923299727655,2,0.1726111339893763,1
hall,0.2751980747153396,0.4432872774575441,2,0.1680892027422045,1
youtube,0.3139694194966767,0.3629510613818781,5,0.0489816418852014,4
marriage,0.3159700641296722,0.5435004565773559,6,0.2275303924476837,3
event,0.3222892231255212,0.4469947365571956,3,0.1247055134316744,1
gay,0.5559115332614295,0.7119961014565707,29,0.1560845681951412,2
