word,npmi-bias,gay-npmi,gay-count,him-npmi,him-count
soldiers,0.1174643340859273,0.3667184996611395,1,0.2492541655752122,1
cultural,0.11768898622068341,0.3641558927637921,1,0.2464669065431087,1
strange,0.11789996901296854,0.3617297305324054,1,0.2438297615194369,1
christ,0.11846519985895848,0.3551335293325131,1,0.2366683294735546,1
cities,0.11879632760151043,0.3512013387422007,1,0.2324050111406903,1
mr,0.1190983123693766,0.3475694225157413,1,0.2284711101463647,1
middle,0.1193757939545814,0.3441922898187163,1,0.2248164958641349,1
people,0.11957406293816131,0.3522953897597632,5,0.2327213268216019,8
force,0.11987095566641812,0.338066692043886,1,0.2181957363774679,1
section,0.12019996970470606,0.3339229422135849,1,0.2137229725088788,1
kill,0.1204027286165745,0.3313387637323238,1,0.2109360351157493,1
wants,0.12094638402589342,0.3242893202525402,1,0.2033429362266468,1
local,0.12126502684329121,0.3200719251434852,1,0.198806898300194,1
book,0.12126502684329121,0.3200719251434852,1,0.198806898300194,1
turn,0.121413528887198,0.3180837706829696,1,0.1966702417957716,1
wrong,0.12148534294088881,0.3171170182430329,1,0.1956316753021441,1
20,0.12148534294088881,0.3171170182430329,1,0.1956316753021441,1
party,0.1215556217493062,0.3161675396474623,1,0.1946119178981561,1
sorry,0.12162442729661788,0.3152346794336491,1,0.1936102521370312,1
war,0.1217578484843275,0.3134163766099798,1,0.1916585281256523,1
true,0.1219482839101042,0.310799181717965,1,0.1888508978078608,1
whole,0.1220093645468277,0.3099541791864231,1,0.1879448146395954,1
media,0.1220693172531375,0.3091221134457633,1,0.1870527961926258,1
beautiful,0.12229860472975518,0.3059150773895706,1,0.1836164726598154,1
government,0.12276153997133357,0.2993151866511928,1,0.1765536466798592,1
men,0.12290203415040549,0.2972776711293206,1,0.1743756369789151,1
brown,0.1233694616354574,0.2903758635860459,1,0.1670064019505885,1
seen,0.12431390611383322,0.2757972276948492,1,0.151483321581016,1
long,0.1244276963227279,0.2739778398397057,1,0.1495501435169778,1
thing,0.12493915204479139,0.2656148204121383,1,0.1406756683673469,1
ever,0.12512109265103782,0.2625623962620298,1,0.137441303610992,1
country,0.12564338474718661,0.2535527207399053,1,0.1279093359927187,1
many,0.1265157667843433,0.2375734890162631,1,0.1110577222319198,1
those,0.1266956555834517,0.2341126512529582,1,0.1074169956695065,1
were,0.12713907131730262,0.2253029943037516,1,0.098163922986449,1
young,0.133512458279798,0.3747963099624649,2,0.2412838516826669,2
your,0.1337226367955831,0.3503562605906409,5,0.2166336237950578,7
hell,0.1349443399637362,0.3602472746417441,2,0.2253029346780079,2
may,0.1352810993491149,0.3567200648421205,2,0.2214389654930056,2
family,0.1354403287243754,0.3550373950852266,2,0.2195970663608512,2
first,0.13828457522548343,0.3231548763674664,2,0.184870301141983,2
kids,0.1394131146430486,0.3093736463117378,2,0.1699605316686892,2
its,0.13943364050200208,0.3091159590657023,2,0.1696823185637002,2
these,0.14042739415937758,0.2963068345018833,2,0.1558794403425057,2
m,0.1416068766681257,0.280151186098834,2,0.1385443094307083,2
well,0.1487445602653566,0.3457723574452653,3,0.1970277971799087,3
is,0.1647123703968174,0.4381859402767081,16,0.2734735698798907,25
hall,0.17698306779771772,0.4432872774575441,2,0.2663042096598264,1
last,0.1813251284949504,0.3641396245458601,3,0.1828144960509097,2
are,0.18217809593913742,0.374511655462606,9,0.1923335595234686,10
open,0.18653773557466719,0.377244963889482,2,0.1907072283148148,1
support,0.18743040367888136,0.3702186933072549,2,0.1827882896283735,1
group,0.18977795823713708,0.3507832518628138,2,0.1610052936256767,1
friends,0.18989569378728058,0.349768091614246,2,0.1598723978269654,1
re,0.1933455130546345,0.3179234831348536,2,0.1245779700802191,1
anti,0.2004563443753921,0.4487934398911301,5,0.248337095515738,3
parade,0.21708912031992944,0.4724505083272688,3,0.2553613880073394,1
children,0.2337810300468056,0.3787406693376116,3,0.144959639290806,1
youtube,0.2491512932172225,0.3629510613818781,5,0.1137997681646556,2
pride,0.2570986400114618,0.4527303153136059,4,0.1956316753021441,1
city,0.26249521719381796,0.4264274975330384,4,0.1639322803392204,1
