word,npmi-bias,his-npmi,his-count,straight-npmi,straight-count
went,-0.12050112765630461,0.2725273251807453,6,0.3930284528370499,2
you,-0.11903845492449822,0.195281811667889,16,0.3143202665923872,4
just,-0.11727068134853097,0.2255405321382356,11,0.3428112134867666,3
their,-0.11406523706458083,0.1761281063665356,7,0.2901933434311164,2
me,-0.1129441316321218,0.1948540150807752,7,0.307798146712897,2
nationalist,-0.10823899525471037,0.2262144364801864,3,0.3344534317348968,1
once,-0.10807415832888292,0.2286937518100318,3,0.3367679101389147,1
life,-0.1080316432699665,0.2293301416614717,3,0.3373617849314382,1
can,-0.10678585815345604,0.252368268407375,12,0.359154126560831,3
full,-0.10674415071916088,0.2480436587432564,3,0.3547878094624173,1
gets,-0.10620198980327866,0.2556261991712884,3,0.3618281889745671,1
ass,-0.10325377069645131,0.2943068970172571,3,0.3975606677137084,1
no,-0.09908057622431288,0.2210277109663506,8,0.3201082871906635,2
who,-0.0978650519303701,0.2663873723461382,13,0.3642524242765083,3
it,-0.0973338347898024,0.2869053778937682,37,0.3842392126835706,7
down,-0.09596916549982148,0.2698517525336941,8,0.3658209180335156,2
out,-0.09104224196844568,0.2559169099902167,14,0.3469591519586624,3
all,-0.0893700001174263,0.2733353356309136,20,0.3627053357483399,4
www,-0.08804094711790919,0.171988942016267,4,0.2600298891341762,1
us,-0.087166325328422,0.1920458137550331,4,0.2792121390834551,1
than,-0.0871332931585111,0.1927744571169785,4,0.2799077502754896,1
years,-0.0867381579542246,0.2013449148615342,4,0.2880830728157588,1
off,-0.08590450108681122,0.218625834271963,4,0.3045303353587742,1
ago,-0.08541573069017602,0.2283113749964845,4,0.3137271056866605,1
the,-0.08494919435477039,0.3675365857109999,107,0.4524857800657703,16
keep,-0.0845943961251236,0.2439431055845634,4,0.328537501709687,1
ca,-0.08435143964532771,0.2484265064718928,4,0.3327779461172205,1
wonder,-0.08415398846070021,0.2520262879691483,4,0.3361802764298485,1
looks,-0.08404969101659504,0.2539123563154896,4,0.3379620473320846,1
head,-0.08247124057116256,0.281277606093537,4,0.3637488466646996,1
floor,-0.07921826330770099,0.3321020778602483,4,0.4113203411679493,1
then,-0.07523089689304668,0.2716380483951536,10,0.3468689452882003,2
should,-0.0751054364332957,0.274003115355293,10,0.3491085517885887,2
when,-0.0750225596082909,0.2925007722245534,16,0.3675233318328443,3
got,-0.07428214110734577,0.289157792911691,10,0.3634399340190368,2
like,-0.07012732423216211,0.2623956453088337,17,0.3325229695409958,3
any,-0.06745030871309113,0.2092711903974294,5,0.2767214991105205,1
few,-0.067327356910734,0.2125803933647556,5,0.2799077502754896,1
now,-0.06726303962962299,0.2142965313812526,5,0.2815595710108756,1
around,-0.06699460525220122,0.2213527907814962,5,0.2883473960336974,1
what,-0.06687861998455946,0.252287398105113,11,0.3191660180896725,2
could,-0.06680619970753629,0.2262076947256855,5,0.2930138944332218,1
an,-0.0665614294706639,0.2594779171374294,11,0.3260393466080933,2
two,-0.0661466548243648,0.2426259663731504,5,0.3087726211975152,1
guy,-0.06512324124236168,0.2665646429482779,5,0.3316878841906396,1
with,-0.05851963653677761,0.325219590510501,33,0.3837392270472786,5
as,-0.051363061522987474,0.278088369799106,20,0.3294514313220935,3
go,-0.0510554356793205,0.2153691516670687,6,0.2664245873463892,1
say,-0.0506640454930935,0.2287791620131629,6,0.2794432075062564,1
old,-0.0504996562426126,0.2342409745346417,6,0.2847406307772543,1
day,-0.050483884208298996,0.2347600214861202,6,0.2852439056944192,1
kids,-0.0504110303094511,0.2371465866603627,6,0.2875576169698138,1
video,-0.0502092667275304,0.2436643488471018,6,0.2938736155746322,1
news,-0.050152457320837396,0.2454760284392355,6,0.2956284857600729,1
look,-0.0501428030415034,0.2457829094840802,6,0.2959257125255836,1
one,-0.049599031445766995,0.2599368441159266,13,0.3095358755616936,2
said,-0.04957460056833801,0.2633634067274727,6,0.3129380072958107,1
get,-0.049413823750934394,0.2654685903562848,13,0.3148824141072192,2
are,-0.0435160992088888,0.1930122732517011,14,0.2365283724605899,2
my,-0.04270101289570838,0.2266702213276937,14,0.2693712342234021,2
n,-0.042213810016040076,0.245206880135868,14,0.2874206901519081,2
over,-0.035948515616055,0.2540077643182623,7,0.2899562799343173,1
white,-0.03594304885611932,0.303516244043614,31,0.3394592928997333,4
black,-0.033700743748582396,0.288330105380994,15,0.3220308491295764,2
s,-0.03008513023324666,0.2721965516600097,24,0.3022816818932564,3
and,-0.029111791142516774,0.4001979700983344,104,0.4293097612408512,12
is,-0.027460461443557127,0.2995798051629441,42,0.3270402666065012,5
t,-0.027373381648472306,0.2568596642837913,16,0.2842330459322636,2
or,-0.02733013288412417,0.259129526331754,16,0.2864596592158782,2
up,-0.026874031132301912,0.2823110346429158,16,0.3091850657752177,2
her,-0.023492156460380886,0.2495520384523548,8,0.2730441949127357,1
did,-0.023102315822217334,0.2734220462839977,8,0.296524362106215,1
a,-0.022674942696436162,0.3591611537130147,80,0.3818360964094509,9
if,-0.020442095534304205,0.266017563681574,17,0.2864596592158782,2
about,-0.02016057171518687,0.284060158340458,17,0.3042207300556449,2
for,-0.016353601121457895,0.3039997629876459,36,0.3203533641091038,4
at,-0.014696751605927205,0.3285745214929397,27,0.3432712730988669,3
see,-0.012112032121586513,0.2418913370152081,9,0.2540033691367946,1
good,-0.012102964624727874,0.2428703355203351,9,0.254973300145063,1
time,-0.011948948106570934,0.2592258902791836,9,0.2711748383857545,1
year,-0.01178830494756361,0.2757693120222502,9,0.2875576169698138,1
own,-0.01166702073645609,0.2879384380377119,9,0.299605458774168,1
from,-0.007534840335731707,0.288026555737057,19,0.2955613960727887,2
they,0.004122196268094597,0.2445727972656486,21,0.240450600997554,2
on,0.005082085460695218,0.3349025652360359,42,0.3298204797753407,4
have,0.015319387912626686,0.2544106359034107,23,0.239091247990784,2
i,0.016007826071411102,0.3178595931300292,67,0.3018517670586181,6
only,0.017227496232981032,0.2902716911457167,12,0.2730441949127357,1
your,0.01757021661603761,0.2384091159872814,12,0.2208388993712438,1
not,0.017659156342291177,0.2207028095475282,12,0.203043653205237,1
this,0.02567445433260601,0.2731336488075029,25,0.2474591944748969,2
of,0.030051878951455002,0.3549742173151446,73,0.3249223383636896,6
was,0.0329741789566918,0.3514648217545544,39,0.3184906427978626,3
to,0.04172752399582963,0.3667183153448607,90,0.3249907913490311,7
in,0.04384723703569271,0.3561658695223517,67,0.312318632486659,5
has,0.0480879265851088,0.3093511673083283,16,0.2612632407232195,1
by,0.04853660217639641,0.2923643363642307,16,0.2438277341878343,1
will,0.04913640457599178,0.2673244202715119,16,0.2181880156955201,1
be,0.08677984855474902,0.2865544431850171,22,0.1997745946302681,1
that,0.11212329607889582,0.3312133149053964,47,0.2190900188265006,2
him,0.12473612522630789,0.4285869002273667,32,0.3038507750010588,1
he,0.1724173399681721,0.4310634292129167,45,0.2586460892447446,1
