word,straight-npmi
went,0.3930284528370499
what,0.3191660180896725
when,0.3675233318328443
white,0.3394592928997333
who,0.3642524242765083
will,0.2181880156955201
wind,0.431686093081261
with,0.3837392270472786
without,0.3547878094624173
woman,0.3373617849314382
wonder,0.3361802764298485
world,0.3048729285500753
wow,0.3886203737531715
www,0.2600298891341762
yahoo,0.4087080088423838
year,0.2875576169698138
years,0.2880830728157588
you,0.3143202665923872
your,0.2208388993712438
