word,npmi-bias,himself-npmi,himself-count,they-npmi,they-count
trying,0.1876576835659293,0.3893753639885989,1,0.2017176804226696,14
god,0.1883997936210149,0.3845904272958965,1,0.1961906336748816,14
did,0.1955813324623749,0.430176060255964,2,0.2345947277935891,34
way,0.19719289358277542,0.4215089305525874,2,0.224316036969812,34
might,0.197588492692904,0.4025714180635226,1,0.2049829253706186,12
who,0.1998527792805307,0.4330017289130046,3,0.2331489496324739,61
jew,0.2006953560671474,0.3835820623019155,1,0.1828867062347681,12
bad,0.20123203965429678,0.3801919606975366,1,0.1789599210432398,12
negro,0.2014507634881401,0.3788004256195708,1,0.1773496621314307,12
by,0.2080412609383483,0.4359243480562185,3,0.2278830871178702,56
while,0.2084251860973138,0.3774428496519358,1,0.169017663554622,11
saw,0.2163685451441342,0.3735568716692449,1,0.1571883265251107,10
police,0.2208139094265212,0.3946300137447628,1,0.1738161043182416,9
story,0.2215286832886747,0.3904990235269153,1,0.1689703402382406,9
tried,0.2245752800040391,0.4214747368165805,1,0.1968994568125414,8
reason,0.2270057974622065,0.408644140585384,1,0.1816383431231775,8
seems,0.2273000346695112,0.4070560788344652,1,0.179756044164954,8
couple,0.2289875981949355,0.3977926477519722,1,0.1688050495570367,8
everyone,0.22910381969752966,0.3971446174559424,1,0.1680407977584127,8
scene,0.2309446745583421,0.4376048117284454,1,0.2066601371701033,7
either,0.23537299494218802,0.4155587891066234,1,0.1801857941644354,7
youtube,0.2358788175657976,0.2921686342294594,1,0.0562898166636618,9
future,0.2367008385599053,0.408644140585384,1,0.1719433020254787,7
lol,0.23823348493742189,0.4004688922664861,1,0.1622354073290642,7
guy,0.24100596366563232,0.3851016879367483,1,0.144095724271116,7
stormfront,0.24435482270456838,0.3654043928935807,1,0.1210495701890123,7
he,0.24497494175181483,0.3963642610234274,2,0.1513893192716126,21
having,0.2476969619832729,0.408644140585384,1,0.1609471786021111,6
support,0.2490011314572372,0.4018609548850291,1,0.1528598234277919,6
gotten,0.2502837906403669,0.4557740224658173,1,0.2054902318254504,5
org,0.25313629164174256,0.3792604058314157,1,0.1261241141896731,6
mail,0.254381397896967,0.4376048117284454,1,0.1832234138314784,5
immigration,0.2555954920063363,0.4320157480588263,1,0.17642025605249,5
members,0.25865787039852095,0.4174513250388897,1,0.1587934546403688,5
him,0.2595208527206726,0.4366755076356669,2,0.1771546549149943,16
100,0.25977059882063225,0.411980495176679,1,0.1522098963560468,5
islam,0.2634039981423095,0.4631910127477455,1,0.199787014605436,4
fun,0.26835849868499106,0.4423065109024717,1,0.1739480122174806,4
ple,0.2720276723236983,0.4258694821794012,1,0.1538418098557029,4
killed,0.2725139989659111,0.4236210647752854,1,0.1511070658093743,4
was,0.2757745290731468,0.4666660471195994,5,0.1908915180464526,66
used,0.27925054119773457,0.3904990235269153,1,0.1112484823291807,4
suspect,0.28389725478572114,0.4557740224658173,1,0.1718767676800961,3
racism,0.2849568107363382,0.4514749232260029,1,0.1665181124896647,3
ass,0.285905759062414,0.447571284735025,1,0.161665525672611,3
arrested,0.2867649470402437,0.4439918399175355,1,0.1572268928772918,3
sign,0.2871658663771002,0.4423065109024717,1,0.1551406445253715,3
moment,0.2875498200898714,0.440683318492337,1,0.1531334984024656,3
morning,0.2875498200898714,0.440683318492337,1,0.1531334984024656,3
drug,0.28791817613623727,0.4391174948061793,1,0.151199318669942,3
third,0.28791817613623727,0.4391174948061793,1,0.151199318669942,3
desperately,0.2901166219665241,0.5219256320123388,1,0.2318090100458147,2
set,0.2912097219494182,0.4247318541129861,1,0.1335221321635679,3
wish,0.2914569687448597,0.4236210647752854,1,0.1321640960304257,3
e,0.2934200614591336,0.4146394211534098,1,0.1212193596942762,3
increased,0.29377953319090083,0.510319685506992,1,0.2165401523160912,2
process,0.29845303156830005,0.4948704473088791,1,0.196417415740579,2
apologize,0.29845303156830005,0.4948704473088791,1,0.196417415740579,2
forum,0.3007927465140828,0.3778917138589484,1,0.0770989673448656,3
obvious,0.30156194892041566,0.4841504660179657,1,0.18258851709755,2
devil,0.30156194892041566,0.4841504660179657,1,0.18258851709755,2
reich,0.30156194892041566,0.4841504660179657,1,0.18258851709755,2
despite,0.30156194892041566,0.4841504660179657,1,0.18258851709755,2
entertainment,0.3038969665926116,0.4758419842921146,1,0.171945017699503,2
avoid,0.30802209125833757,0.4605671502639468,1,0.1525450590056092,2
trouble,0.30984007645995454,0.4535696646876842,1,0.1437295882277297,2
straight,0.3118202214001,0.4457447104334328,1,0.1339244890333328,2
russian,0.3126727558571681,0.4423065109024717,1,0.1296337550453036,2
russia,0.3126727558571681,0.4423065109024717,1,0.1296337550453036,2
nordic,0.3173698163888481,0.4225357727084399,1,0.1051659563195918,2
page,0.3183027095738572,0.4184260615531236,1,0.1001233519792664,2
popish,0.32321388808717266,0.5405416191615336,1,0.217327731074361,1
maxi,0.32321388808717266,0.5405416191615336,1,0.217327731074361,1
5syk36rbphm,0.32321388808717266,0.5405416191615336,1,0.217327731074361,1
395023,0.32321388808717266,0.5405416191615336,1,0.217327731074361,1
dea,0.32321388808717266,0.5405416191615336,1,0.217327731074361,1
biewers,0.32321388808717266,0.5405416191615336,1,0.217327731074361,1
sh2dnwk6u1a,0.32321388808717266,0.5405416191615336,1,0.217327731074361,1
oooops,0.32321388808717266,0.5405416191615336,1,0.217327731074361,1
lachkrampf,0.32321388808717266,0.5405416191615336,1,0.217327731074361,1
interrupted,0.32321388808717266,0.5405416191615336,1,0.217327731074361,1
pope,0.32321388808717266,0.5405416191615336,1,0.217327731074361,1
https,0.3277685029176907,0.3723187620458866,1,0.0445502591281959,2
hanged,0.32983318995322264,0.5219256320123388,1,0.1920924420591161,1
accusations,0.32983318995322264,0.5219256320123388,1,0.1920924420591161,1
friend,0.3335821099496856,0.4868381071024025,2,0.1532559971527169,5
agent,0.33375781125536,0.510319685506992,1,0.176561874251632,1
moments,0.33375781125536,0.510319685506992,1,0.176561874251632,1
rare,0.33375781125536,0.510319685506992,1,0.176561874251632,1
demanding,0.33375781125536,0.510319685506992,1,0.176561874251632,1
iraq,0.33375781125536,0.510319685506992,1,0.176561874251632,1
dealer,0.33656176435660556,0.5017374050672441,1,0.1651756407106385,1
84,0.33656176435660556,0.5017374050672441,1,0.1651756407106385,1
nigga,0.338745857135375,0.4948704473088791,1,0.1561245901735041,1
pieces,0.338745857135375,0.4948704473088791,1,0.1561245901735041,1
shoots,0.338745857135375,0.4948704473088791,1,0.1561245901735041,1
ukrainian,0.3445259256703629,0.4758419842921146,1,0.1313160586217517,1
murders,0.3445259256703629,0.4758419842921146,1,0.1313160586217517,1
superiority,0.3445259256703629,0.4758419842921146,1,0.1313160586217517,1
camera,0.3455644333473603,0.4722785906164142,1,0.1267141572690539,1
rid,0.3455644333473603,0.4722785906164142,1,0.1267141572690539,1
protect,0.3495611756749735,0.4581012316049836,1,0.1085400559300101,1
false,0.3495611756749735,0.4581012316049836,1,0.1085400559300101,1
film,0.3518875471567481,0.4494786329622445,1,0.0975910858054964,1
million,0.3541802041682986,0.440683318492337,1,0.0865031143240384,1
expressed,0.3991512586905405,0.5757131329421725,2,0.176561874251632,1
himself,0.5904962830043039,0.7499121899325186,12,0.1594159069282147,2
