word,npmi-bias,gay-npmi,gay-count,her-npmi,her-count
12,0.07592336878594647,0.3326143500559421,1,0.2566909812699956,3
how,0.07629977818566641,0.2868299306696957,2,0.2105301524840293,7
with,0.07717276674942009,0.3638724653524244,7,0.2866996986030043,29
done,0.07767727515941297,0.3059150773895706,1,0.2282378022301576,3
place,0.0794010663778022,0.2781514807557532,1,0.198750414377951,3
there,0.0795111967199944,0.2334112465517538,2,0.1539000498317594,7
as,0.08097623806808621,0.3056104596524184,4,0.2246342215843322,15
same,0.08107462095861301,0.2494820040966032,1,0.1684073831379902,3
over,0.08138487076774889,0.2439548678123412,1,0.1625699970445923,3
that,0.08155393630626828,0.3585699924174608,9,0.2770160561111925,38
new,0.0823452942304673,0.2263717204801999,1,0.1440264262497326,3
this,0.0848021861463813,0.3672135959579981,8,0.2824114098116168,32
s,0.08721050677031184,0.3521118307945456,7,0.2649013240242338,27
n,0.0878496765709254,0.3410878945627996,5,0.2532382179918742,18
t,0.0881076461272681,0.3380134679518958,5,0.2499058218246277,18
all,0.09019745768831977,0.266386609973114,3,0.1761891522847942,10
who,0.09369001718087422,0.34107328384903,4,0.2473832666681558,13
throat,0.10096670045172368,0.4009934769690955,1,0.3000267765173718,2
some,0.10163512601730768,0.3464081111903415,4,0.2447729851730338,12
family,0.10166444066136948,0.3550373950852266,2,0.2533729544238571,5
dude,0.10240465324858178,0.3862954197874064,1,0.2838907665388246,2
protect,0.10424741239599522,0.3667184996611395,1,0.2624710872651443,2
apparently,0.10529906192141747,0.3551335293325131,1,0.2498344674110956,2
say,0.10621544323761328,0.3013652923481402,2,0.1951498491105269,5
know,0.1073653346695049,0.2866457459731065,2,0.1792804113036016,5
brother,0.1075760427405609,0.3288797483035058,1,0.2213037055629449,2
head,0.1083070604253682,0.3200719251434852,1,0.211764864718117,2
face,0.10838929714400028,0.3190684929780839,1,0.2106791958340836,2
teacher,0.10891995461887899,0.3125297991722355,1,0.2036098445533565,2
care,0.1091929238877527,0.3091221134457633,1,0.1999291895580106,2
called,0.1097435936129586,0.302152290583169,1,0.1924086969702104,2
together,0.1104198048841663,0.2934101736311624,1,0.1829903687469961,2
better,0.11069529097325662,0.2897877239584356,1,0.179092432985179,2
work,0.1112691531102172,0.2821223288815718,1,0.1708531757713546,2
jews,0.11243545702532248,0.2660070984268671,1,0.1535716414015446,2
non,0.11283084283550979,0.2603668053595391,1,0.1475359625240293,2
country,0.113299671464616,0.2535527207399053,1,0.1402530492752893,2
look,0.11353408821681252,0.2500918886982128,1,0.1365578004814003,2
great,0.11361573577893641,0.2488777721240473,1,0.1352620363451109,2
many,0.1143612534171253,0.2375734890162631,1,0.1232122355991378,2
those,0.11458420342815298,0.2341126512529582,1,0.1195284478248052,2
video,0.1174961984609274,0.3586702531879376,3,0.2411740547270102,7
young,0.1187276673585188,0.3747963099624649,2,0.2560686426039461,4
because,0.11901308731373658,0.3435654563470742,3,0.2245523690333376,7
hell,0.1202410702737853,0.3602472746417441,2,0.2400062043679588,4
friends,0.1212984951702083,0.349768091614246,2,0.2284695964440377,4
do,0.12378507758263588,0.311483384651383,4,0.1876983070687471,10
is,0.12656809054877022,0.4381859402767081,16,0.3116178497279379,54
m,0.1276369903452696,0.280151186098834,2,0.1525141957535644,4
you,0.12986600507463,0.2794372060610774,5,0.1495712009864474,13
last,0.13111449781702778,0.3641396245458601,3,0.2330251267288323,6
from,0.1312697326918108,0.3930186576832394,7,0.2617489249914286,18
well,0.133116083569441,0.3457723574452653,3,0.2126562738758243,6
of,0.14167432362382432,0.4214432869429458,17,0.2797689633191215,54
they,0.144097151010111,0.3415974027488728,7,0.1975002517387618,17
may,0.1443678338181936,0.3567200648421205,2,0.2123522310239269,3
theater,0.14598766297308596,0.4245535929759084,1,0.2785659300028224,1
aside,0.14730819658380334,0.4150039721576905,1,0.2676957755738872,1
actors,0.14730819658380334,0.4150039721576905,1,0.2676957755738872,1
yr,0.14833961388341277,0.4073755921177137,1,0.2590359782343009,1
romania,0.149905430680768,0.3954892471925377,1,0.2455838165117697,1
drag,0.1505299831190349,0.3906388455418885,1,0.2401088624228536,1
beating,0.1510821944911068,0.3862954197874064,1,0.2352132252962996,1
bulgarian,0.15157712246251848,0.382357289307344,1,0.2307801668448255,1
famous,0.15243547090063692,0.3754217905526198,1,0.2229863196519829,1
rights,0.15281297020341758,0.372327527646395,1,0.2195145574429774,1
values,0.1534887158534072,0.3667184996611395,1,0.2132297838077323,1
opinion,0.1534887158534072,0.3667184996611395,1,0.2132297838077323,1
poster,0.1537937819549315,0.3641558927637921,1,0.2103621108088606,1
strange,0.15408049125558773,0.3617297305324054,1,0.2076492392768177,1
inside,0.1543509174708646,0.359425265523159,1,0.2050743480522944,1
btw,0.1546068008952282,0.3572300612390683,1,0.2026232603438401,1
classes,0.1546068008952282,0.3572300612390683,1,0.2026232603438401,1
florida,0.154849616363033,0.3551335293325131,1,0.2002839129694801,1
criminal,0.154849616363033,0.3551335293325131,1,0.2002839129694801,1
longer,0.15508062471355308,0.3531265776680795,1,0.1980459529545264,1
events,0.15508062471355308,0.3531265776680795,1,0.1980459529545264,1
question,0.15508062471355308,0.3531265776680795,1,0.1980459529545264,1
forced,0.155300912346494,0.3512013387422007,1,0.1959004263957067,1
drug,0.15590630128331362,0.3458514332334042,1,0.1899451319500906,1
middle,0.1560920333299948,0.3441922898187163,1,0.1881002564887215,1
huge,0.1562707406267259,0.342587805514648,1,0.1863170648879221,1
sick,0.15692468972544737,0.3366469365003771,1,0.1797222467749297,1
running,0.15692468972544737,0.3366469365003771,1,0.1797222467749297,1
wo,0.1573616462298014,0.3326143500559421,1,0.1752527038261407,1
kill,0.1574986985155038,0.3313387637323238,1,0.17384006521682,1
liberals,0.15763185330920598,0.3300944335676952,1,0.1724625802584892,1
9,0.1586849719485988,0.3200719251434852,1,0.1613869531948864,1
local,0.1586849719485988,0.3200719251434852,1,0.1613869531948864,1
pictures,0.1586849719485988,0.3200719251434852,1,0.1613869531948864,1
ones,0.15888978776681462,0.3180837706829696,1,0.159193982916155,1
job,0.15888978776681462,0.3180837706829696,1,0.159193982916155,1
wrong,0.1589888923980756,0.3171170182430329,1,0.1581281258449573,1
blood,0.15936530646792968,0.3134163766099798,1,0.1540510701420501,1
future,0.1594547915796594,0.3125297991722355,1,0.1530750075925761,1
000,0.1595425673938513,0.3116575655709478,1,0.1521149981770965,1
whole,0.1597132373912472,0.3099541791864231,1,0.1502409417951759,1
media,0.1597962465597033,0.3091221134457633,1,0.14932586688606,1
people,0.16087045488257942,0.3522953897597632,5,0.1914249348771838,9
believe,0.1608881421838413,0.2979486935218571,1,0.1370605513380158,1
men,0.16095236825526887,0.2972776711293206,1,0.1363253028740517,1
crime,0.16113972293143192,0.2953110512667621,1,0.1341713283353302,1
racist,0.16143557825898078,0.2921771536484656,1,0.1307415753894848,1
brown,0.16160412733130938,0.2903758635860459,1,0.1287717362547365,1
schools,0.1618193725196473,0.2880583185647423,1,0.126238946045095,1
god,0.16197422199364503,0.2863788706607983,1,0.1244046486671533,1
please,0.16217259977295528,0.2842121067918283,1,0.122039507018873,1
use,0.162845672480045,0.2767278987178216,1,0.1138822262377766,1
start,0.1629280554983462,0.2757972276948492,1,0.112869172196503,1
long,0.1630882692891175,0.2739778398397057,1,0.1108895705505882,1
much,0.1647583640110294,0.2542023775907844,1,0.089444013579755,1
community,0.1734022361622373,0.3789443112828268,2,0.2055420751205895,2
open,0.17363511933612547,0.377244963889482,2,0.2036098445533565,2
even,0.18181730885237019,0.3109417374610052,2,0.129124428608635,2
its,0.18201798260759308,0.3091159590657023,2,0.1270979764581092,2
youtube,0.1841310193236839,0.3629510613818781,5,0.1788200420581942,7
children,0.18899488073782728,0.3787406693376116,3,0.1897457885997843,3
race,0.1933151779596038,0.3478252474003401,3,0.1545100694407363,3
lesbian,0.20775355003455137,0.4667895282688523,2,0.2590359782343009,1
are,0.2113884960015436,0.374511655462606,9,0.1631231594610624,13
hall,0.2125071106127186,0.4432872774575441,2,0.2307801668448255,1
your,0.2174259521564467,0.3503562605906409,5,0.1329303084341942,5
proud,0.22390053776063729,0.3789443112828268,2,0.1550437735221895,1
support,0.22526701414313968,0.3702186933072549,2,0.1449516791641152,1
high,0.2272986577343584,0.3567200648421205,2,0.1294214071077621,1
group,0.22816074500462108,0.3507832518628138,2,0.1226225068581927,1
something,0.2303885053944153,0.3347887912404371,2,0.1044002858460218,1
re,0.23258914929688598,0.3179234831348536,2,0.0853343338379676,1
these,0.23518983480948297,0.2963068345018833,2,0.0611169996924003,1
anti,0.2756952598730681,0.4487934398911301,5,0.173098180018062,2
pride,0.2946021894686486,0.4527303153136059,4,0.1581281258449573,1
city,0.300805982193297,0.4264274975330384,4,0.1256215153397414,1
