word,npmi-bias,his-npmi,his-count,they-npmi,they-count
better,-0.0428860690081638,0.1939315863642149,2,0.2368176553723787,22
hate,-0.038996536417268995,0.1853348211838603,2,0.2243313576011293,21
its,-0.03898558588178122,0.1430796204764128,2,0.182065206358194,21
become,-0.03846737298966138,0.1573680263684885,1,0.1958353993581499,11
able,-0.0384596604143459,0.1669604680939579,1,0.2054201285083038,11
love,-0.0384569714313322,0.1412700002006859,1,0.1797269716320181,11
watching,-0.0384495689675369,0.1729583851784586,1,0.2114079541459955,11
land,-0.038436657337391794,0.1784958238477738,1,0.2169324811851656,11
never,-0.03745849877364882,0.1785241633610647,3,0.2159826621347135,30
many,-0.03745423561173722,0.1722343512039345,3,0.2096885868156717,30
off,-0.037059907179225776,0.218625834271963,4,0.2556857414511888,39
no,-0.03411396178640719,0.2210277109663506,8,0.2551416727527578,72
go,-0.033944184018051604,0.2153691516670687,6,0.2493133356851203,55
t,-0.03217745060008387,0.2568596642837913,16,0.2890371148838752,135
you,-0.0319623853801857,0.195281811667889,16,0.2272441970480747,135
past,-0.03125671998718221,0.1859655089856841,1,0.2172222289728663,10
liberal,-0.031256299473241406,0.1808748356275218,1,0.2121311351007632,10
crap,-0.031249404378102225,0.1719135934653465,1,0.2031629978434487,10
asian,-0.031237141514890487,0.1641825735674944,1,0.1954197150823849,10
brown,-0.031174087511886384,0.1431409837899532,1,0.1743150713018396,10
such,-0.031148020139364213,0.1371149144550645,1,0.1682629345944287,10
how,-0.03114475334067221,0.2410993172149953,8,0.2722440705556675,70
africa,-0.03063791756010631,0.1939315863642149,2,0.2245695039243212,19
sure,-0.030629205112287616,0.1864134512942623,2,0.2170426564065499,19
if,-0.029707196765285104,0.266017563681574,17,0.2957247604468591,140
people,-0.02662674453986416,0.2490977273358206,13,0.2757244718756848,106
different,-0.026204607741944108,0.2032422725094984,2,0.2294468802514425,18
really,-0.02609658150319641,0.1719200792097435,2,0.1980166607129399,18
something,-0.02609236874857801,0.1710627987525663,2,0.1971551675011443,18
blacks,-0.024381961542288,0.2247427206400196,5,0.2491246821823076,42
be,-0.02438046634905927,0.2865544431850171,22,0.3109349095340764,171
seem,-0.023483221631012297,0.2012968421615901,1,0.2247800637926024,9
thats,-0.023423684594004818,0.1808748356275218,1,0.2042985202215266,9
took,-0.02341453741242272,0.1784958238477738,1,0.2019103612601965,9
pass,-0.02341453741242272,0.1784958238477738,1,0.2019103612601965,9
speak,-0.023377543948245788,0.1698802305350312,1,0.193257774483277,9
stuff,-0.023368266947744576,0.1679171999906489,1,0.1912854669383935,9
alone,-0.023358999187469115,0.16601947886853,1,0.1893784780559991,9
countries,-0.02335437112228858,0.1650936864830309,1,0.1884480576053195,9
run,-0.02335437112228858,0.1650936864830309,1,0.1884480576053195,9
move,-0.02335437112228858,0.1650936864830309,1,0.1884480576053195,9
teachers,-0.023331318930178785,0.1606754599717273,1,0.1840067789019061,9
small,-0.0233084649863389,0.1565695897543766,1,0.1798780547407155,9
south,-0.0233084649863389,0.1565695897543766,1,0.1798780547407155,9
days,-0.023241491191365593,0.145728849046875,1,0.1689703402382406,9
hair,-0.023219757686035014,0.1425109111772649,1,0.1657306688632999,9
know,-0.022966218922337717,0.228000010068685,7,0.2509662289910227,57
say,-0.02253824446215741,0.2287791620131629,6,0.2513174064753203,49
all,-0.02253699086106098,0.2733353356309136,20,0.2958723264919746,154
more,-0.021762495161467305,0.2236659384273958,8,0.2454284335888631,64
racist,-0.0215184407139474,0.1964465557347658,2,0.2179649964487132,17
kids,-0.020570387667250223,0.2371465866603627,6,0.2577169743276129,48
around,-0.019753120668690116,0.2213527907814962,5,0.2411059114501863,40
can,-0.01802811123891984,0.252368268407375,12,0.2703963796462948,91
put,-0.017848550359482213,0.2032316118764955,3,0.2210801622359777,24
came,-0.016617411612519117,0.1984047493337888,2,0.2150221609463079,16
place,-0.0164921171339229,0.1817015799134404,2,0.1981936970473633,16
world,-0.01631834989807049,0.1619468137078126,2,0.1782651636058831,16
will,-0.01615717336400274,0.2673244202715119,16,0.2834815936355146,118
why,-0.016035488929142,0.2168528674150035,4,0.2328883563441455,31
views,-0.015015894908069899,0.2179406345215041,1,0.232956529429574,8
acting,-0.015015894908069899,0.2179406345215041,1,0.232956529429574,8
second,-0.014934578379215996,0.2031057059897966,1,0.2180402843690126,8
continue,-0.014923707238181094,0.2012968421615901,1,0.2162205493997712,8
sort,-0.014923707238181094,0.2012968421615901,1,0.2162205493997712,8
body,-0.01491300213141769,0.1995484841321675,1,0.2144614862635852,8
force,-0.014881823570632696,0.1946267928821758,1,0.2095086164528085,8
sent,-0.014795545094380302,0.1821039117181611,1,0.1968994568125414,8
course,-0.014795545094380302,0.1821039117181611,1,0.1968994568125414,8
teach,-0.014795545094380302,0.1821039117181611,1,0.1968994568125414,8
reason,-0.014677875029219606,0.1669604680939579,1,0.1816383431231775,8
skin,-0.01460293087919351,0.1581774912057517,1,0.1727804220849452,8
send,-0.014567710941170403,0.1542373386158663,1,0.1688050495570367,8
week,-0.014507518176031492,0.1477452361499221,1,0.1622527543259536,8
what,-0.014477177579439282,0.252287398105113,11,0.2667645756845523,81
area,-0.014246292982214387,0.1223596231201606,1,0.136605916102375,8
like,-0.014076085839856423,0.2623956453088337,17,0.2764717311486901,123
come,-0.012668990307092315,0.2461588689358359,5,0.2588278592429282,37
want,-0.011948876616798998,0.2544277266220016,8,0.2663766032388006,58
least,-0.011503487551712405,0.2061965541035934,2,0.2177000416553058,15
since,-0.01134578302467959,0.1891961455165114,2,0.200541928541191,15
still,-0.011270747075375898,0.1817015799134404,2,0.1929723269888163,15
yes,-0.011250313496479897,0.1797171414242219,2,0.1909674549207018,15
ve,-0.010148465720671407,0.1823552066799691,3,0.1925036724006405,22
been,-0.00968120700237371,0.2026686824319286,5,0.2123498894343023,36
out,-0.008427249672272985,0.2559169099902167,14,0.2643441596624897,97
some,-0.007632116275498008,0.2091633742119344,7,0.2167954904874324,49
get,-0.007082397667900642,0.2654685903562848,13,0.2725509880241854,89
our,-0.006725947794757825,0.2330455893417062,9,0.239771537136464,62
give,-0.00665093755871371,0.2226787284070527,3,0.2293296659657664,21
these,-0.005991113112131297,0.2380031582797124,7,0.2439942713918437,48
hell,-0.005947967457138714,0.1990720675078315,2,0.2050200349649702,14
through,-0.005940213415450313,0.1984047493337888,2,0.2043449627492391,14
trying,-0.00590983288801511,0.1958078475346545,2,0.2017176804226696,14
it,-0.005541953288983936,0.2869053778937682,37,0.2924473311827521,246
welfare,-0.005529284759648784,0.2179406345215041,1,0.2234699192811529,7
allowed,-0.005441063103299615,0.208944940834249,1,0.2143860039375486,7
numbers,-0.005381917353566801,0.2031057059897966,1,0.2084876233433634,7
fear,-0.005310238155974117,0.196217022462994,1,0.2015272606189681,7
bring,-0.005276942286756514,0.1930827138120451,1,0.1983596560988016,7
national,-0.005199750796683722,0.1859655089856841,1,0.1911652597823678,7
b,-0.005156947472537393,0.1821039117181611,1,0.1872608591906985,7
stand,-0.005143187941026611,0.1808748356275218,1,0.1860180235685484,7
comes,-0.005090419758535497,0.1762145995545227,1,0.1813050193130582,7
either,-0.0050777513697581045,0.1751080427946773,1,0.1801857941644354,7
wanted,-0.0050777513697581045,0.1751080427946773,1,0.1801857941644354,7
goes,-0.0050055765254030105,0.1688902510007865,1,0.1738958275261895,7
almost,-0.0050055765254030105,0.1688902510007865,1,0.1738958275261895,7
woman,-0.004721912768777203,0.145728849046875,1,0.1504507618156522,7
high,-0.004696948809449125,0.143777660422248,1,0.1484746092316971,7
or,-0.00463114394370967,0.259129526331754,16,0.2637606702754637,107
eyes,-0.004544786340028278,0.1321534616435041,1,0.1366982479835324,7
site,-0.004544786340028278,0.1321534616435041,1,0.1366982479835324,7
stormfront,-0.0043335952879790945,0.1167159749010332,1,0.1210495701890123,7
as,-0.001771824140978484,0.278088369799106,20,0.2798601939400845,130
when,-0.000822568142075708,0.2925007722245534,16,0.2933233403666291,103
dont,-0.0004318658113924012,0.2193488810291386,4,0.219780746840531,26
between,-0.00041517500833779253,0.2217659023733082,2,0.222181077381646,13
men,-0.00014311170261069317,0.2018191802619651,2,0.2019622919645758,13
actually,1.987320235691259e-05,0.1903457666069446,2,0.1903258934045877,13
use,0.000167843296593001,0.1802073584516442,2,0.1800395151550512,13
make,0.0007908893910913983,0.2301758547173014,5,0.22938496532621,32
now,0.0010492057268590982,0.2142965313812526,5,0.2132473256543935,32
long,0.0018967081449048073,0.2098298815487555,3,0.2079331734038507,19
school,0.0019333650401605063,0.2226206921143972,6,0.2206873270742367,38
which,0.002052532221049286,0.1999752158807559,3,0.1979226836597066,19
also,0.002277575307322921,0.186096942310975,3,0.1838193670036521,19
new,0.002706311739641004,0.1607029480825125,3,0.1579966363428715,19
could,0.0037352089104858988,0.2262076947256855,5,0.2224724858151996,31
would,0.004168707530690902,0.233081987009281,10,0.2289132794785901,62
sell,0.005205452281607792,0.2204656231764001,1,0.2152601708947923,6
muslims,0.0052774255336071885,0.2155370995250058,1,0.2102596739913986,6
certain,0.005343401538116077,0.2110487241985768,1,0.2057053226604607,6
often,0.005374466939601585,0.208944940834249,1,0.2035704738946474,6
forced,0.005374466939601585,0.208944940834249,1,0.2035704738946474,6
ground,0.005488161879795506,0.2012968421615901,1,0.1958086802817946,6
cut,0.005488161879795506,0.2012968421615901,1,0.1958086802817946,6
sometimes,0.005634298933602427,0.1915820093199644,1,0.185947710386362,6
football,0.005634298933602427,0.1915820093199644,1,0.185947710386362,6
instead,0.005634298933602427,0.1915820093199644,1,0.185947710386362,6
o,0.005678009388279892,0.188700829837502,1,0.1830228204492221,6
mind,0.005759466165046717,0.1833610879422258,1,0.1776016217771791,6
internet,0.005797591815519809,0.1808748356275218,1,0.175077243812002,6
online,0.005797591815519809,0.1808748356275218,1,0.175077243812002,6
brothers,0.0059033152644621945,0.1740229286712642,1,0.168119613406802,6
job,0.0059198268640308915,0.1729583851784586,1,0.1670385583144277,6
culture,0.005919943453226689,0.2125986654345295,2,0.2066787219813028,12
european,0.005983138565131607,0.1688902510007865,1,0.1629071124356549,6
mother,0.005983138565131607,0.1688902510007865,1,0.1629071124356549,6
blue,0.005983138565131607,0.1688902510007865,1,0.1629071124356549,6
having,0.0060132894918467905,0.1669604680939579,1,0.1609471786021111,6
guys,0.0060132894918467905,0.1669604680939579,1,0.1609471786021111,6
open,0.0060132894918467905,0.1669604680939579,1,0.1609471786021111,6
hard,0.00617694230164989,0.1565695897543766,1,0.1503926474527267,6
may,0.006208733484059176,0.1951758836859893,2,0.1889671502019301,12
to,0.006230468694748914,0.3667183153448607,90,0.3604878466501118,550
music,0.006350028364272092,0.145728849046875,1,0.1393788206826029,6
so,0.006468108426161301,0.2879283493028594,19,0.2814602408766981,115
watch,0.006763404753132696,0.1887138134617603,3,0.1819504087086276,18
last,0.006878301498381201,0.1562817998947387,2,0.1494034983963575,12
any,0.007020005165058185,0.2092711903974294,5,0.2022511852323712,30
http,0.00725146656923728,0.1354281350389233,2,0.128176668469686,12
then,0.008459614927904924,0.2716380483951536,10,0.2631784334672487,59
every,0.00921909809045629,0.2427769155658447,6,0.2335578174753884,35
me,0.010149133764592505,0.1948540150807752,7,0.1847048813161827,41
years,0.010587997664846693,0.2013449148615342,4,0.1907569171966875,23
way,0.01202556811307759,0.2363416050828896,6,0.224316036969812,34
hand,0.012237432857885588,0.2315423195866837,2,0.2193048867287981,11
cause,0.012516208111570115,0.2169965628684333,2,0.2044803547568632,11
fact,0.012550831776144217,0.2151963664350257,2,0.2026455346588815,11
parents,0.012584417265564113,0.2134514835685621,2,0.200867066302998,11
told,0.013079261177121104,0.2643915499212105,4,0.2513122887440894,22
few,0.013177503606564195,0.2125803933647556,5,0.1994028897581914,28
looking,0.013630135729054693,0.1597649247686504,2,0.1461347890395957,11
should,0.013651966026927365,0.274003115355293,10,0.2603511493283656,56
she,0.013937694556578784,0.1442048579066492,2,0.1302671633500704,11
country,0.014179385362210611,0.2131147835777963,4,0.1989353982155857,22
work,0.01586903910584478,0.2182660623459615,3,0.2023970232401167,16
fools,0.017143330602592016,0.247498745798785,1,0.230355415196193,5
decide,0.017311965062810714,0.2391738097227509,1,0.2218618446599402,5
whenever,0.017518999108111305,0.2289220842586805,1,0.2114030851505692,5
even,0.01752154152330032,0.2387862019596803,6,0.22126466043638,32
arms,0.01757912809411749,0.2259381971237672,1,0.2083590690296497,5
low,0.01757912809411749,0.2259381971237672,1,0.2083590690296497,5
soldiers,0.01757912809411749,0.2259381971237672,1,0.2083590690296497,5
fall,0.01757912809411749,0.2259381971237672,1,0.2083590690296497,5
faces,0.017635743847029595,0.22312597567248,1,0.2054902318254504,5
beaten,0.017689253973745683,0.2204656231764001,1,0.2027763692026544,5
cold,0.01773999806226262,0.2179406345215041,1,0.2002006364592415,5
sun,0.01773999806226262,0.2179406345215041,1,0.2002006364592415,5
little,0.01777563584287911,0.2295799215156016,4,0.2118042856727225,21
maybe,0.01777563584287911,0.2295799215156016,4,0.2118042856727225,21
children,0.01777563584287911,0.2295799215156016,4,0.2118042856727225,21
television,0.017788262114577708,0.2155370995250058,1,0.1977488374104281,5
eating,0.01787828829803778,0.2110487241985768,1,0.193170435900539,5
decided,0.01787828829803778,0.2110487241985768,1,0.193170435900539,5
enemies,0.017920439308330594,0.208944940834249,1,0.1910245015259184,5
hopefully,0.017999805687061998,0.2049797397183297,1,0.1869799340312677,5
violent,0.017999805687061998,0.2049797397183297,1,0.1869799340312677,5
mail,0.018073428330111718,0.2012968421615901,1,0.1832234138314784,5
evil,0.01810834730184771,0.1995484841321675,1,0.1814401368303198,5
large,0.01810834730184771,0.1995484841321675,1,0.1814401368303198,5
books,0.018142121883458512,0.1978564599708277,1,0.1797143380873692,5
within,0.018142121883458512,0.1978564599708277,1,0.1797143380873692,5
laugh,0.018206536829685788,0.1946267928821758,1,0.17642025605249,5
fighting,0.01823730872791679,0.1930827138120451,1,0.1748454050841283,5
nationalists,0.018267201094344626,0.1915820093199644,1,0.1733148082256198,5
pro,0.018352095242811284,0.1873159300068793,1,0.168963834764068,5
dirty,0.018378943259617503,0.1859655089856841,1,0.1675865657260666,5
three,0.018378943259617503,0.1859655089856841,1,0.1675865657260666,5
scum,0.01840512971695199,0.1846477783647201,1,0.1662426486477681,5
50,0.01840512971695199,0.1846477783647201,1,0.1662426486477681,5
rather,0.01840512971695199,0.1846477783647201,1,0.1662426486477681,5
male,0.0185038958601689,0.1796725467590287,1,0.1611686508988598,5
dark,0.018550074224407714,0.1773435288647765,1,0.1587934546403688,5
youth,0.01857244503799521,0.1762145995545227,1,0.1576421545165275,5
shows,0.018615851011806517,0.1740229286712642,1,0.1554070776594577,5
that,0.018674879235380804,0.3312133149053964,47,0.3125384356700156,263
picture,0.018697810195362513,0.1698802305350312,1,0.1511824203396687,5
sorry,0.018697810195362513,0.1698802305350312,1,0.1511824203396687,5
word,0.018792365824532004,0.1650936864830309,1,0.1463013206584989,5
10,0.018896155351397687,0.1598308514990346,1,0.1409346961476369,5
american,0.019199000772798402,0.1444210918396717,1,0.1252220910668733,5
my,0.020880072692799123,0.2266702213276937,14,0.2057901486348946,75
the,0.021241744046146593,0.3675365857109999,107,0.3462948416648533,607
one,0.022096576479085,0.2599368441159266,13,0.2378402676368416,68
always,0.02217774109225651,0.2182673286731891,4,0.1960895875809326,20
look,0.023183286577460077,0.2457829094840802,6,0.2225996229066201,30
where,0.02371662440231609,0.2523602164222254,7,0.2286435920199093,35
up,0.02473943777224641,0.2823110346429158,16,0.2575715968706694,82
about,0.0252083763569374,0.284060158340458,17,0.2588517819835206,87
leave,0.02561248979723582,0.2556261991712884,3,0.2300137093740526,14
child,0.026075612265078624,0.2383015742241673,3,0.2122259619590887,14
believe,0.026171514685144892,0.2346856957444678,3,0.2085141810593229,14
together,0.0262961026915266,0.229973467476158,3,0.2036773647846314,14
tell,0.026346457607406004,0.2280641380300756,3,0.2017176804226696,14
mine,0.027008480089564385,0.240585485955433,2,0.2135770058658686,9
truth,0.02777264363399598,0.2109302255192912,2,0.1831575818852952,9
yet,0.027853768581742988,0.2077318233224585,2,0.1798780547407155,9
called,0.02787332997125269,0.2069591160866055,2,0.1790857861153528,9
police,0.028003075943723504,0.2018191802619651,2,0.1738161043182416,9
best,0.0280206665937347,0.2011203333193657,2,0.173099666725631,9
city,0.028261161757106718,0.1915175722620036,2,0.1632564105048969,9
town,0.02834700542384,0.188067820702218,2,0.159720815278378,9
going,0.029422181859698304,0.2436643488471018,6,0.2142421669874035,28
keep,0.0302702108769988,0.2439431055845634,4,0.2136728947075646,18
we,0.030974784916403403,0.234410335426509,13,0.2034355505101056,63
knowing,0.03189784715469701,0.247498745798785,1,0.215600898644088,4
see,0.03199380653926881,0.2418913370152081,9,0.2098975304759393,42
naturally,0.0320164985194053,0.2431506527870703,1,0.211134154267665,4
iceland,0.032223289101439095,0.2355065681129745,1,0.2032832790115354,4
needed,0.03231466010588721,0.2321016747113232,1,0.199787014605436,4
somehow,0.03231466010588721,0.2321016747113232,1,0.199787014605436,4
wiggers,0.03231466010588721,0.2321016747113232,1,0.199787014605436,4
willing,0.03231466010588721,0.2321016747113232,1,0.199787014605436,4
skills,0.03231466010588721,0.2321016747113232,1,0.199787014605436,4
next,0.03231968907111671,0.2238342516966281,3,0.1915145626255114,13
feel,0.032336347277877986,0.223253709941243,3,0.190917362663365,13
fit,0.03239957368251539,0.2289220842586805,1,0.1965225105761651,4
amongst,0.03255334152983258,0.22312597567248,1,0.1905726341426474,4
private,0.032623477493250896,0.2204656231764001,1,0.1878421456831492,4
speaking,0.032623477493250896,0.2204656231764001,1,0.1878421456831492,4
nazi,0.032623477493250896,0.2204656231764001,1,0.1878421456831492,4
need,0.032683312944721876,0.2427769155658447,6,0.2100936026211228,27
garbage,0.032689787709273305,0.2179406345215041,1,0.1852508468122308,4
stopped,0.032689787709273305,0.2179406345215041,1,0.1852508468122308,4
times,0.03269202621346179,0.2107646166876627,3,0.1780725904742009,13
nothing,0.03270528642812712,0.2102954936560129,3,0.1775902072278858,13
worst,0.03275267578521951,0.2155370995250058,1,0.1827844237397863,4
anywhere,0.03275267578521951,0.2155370995250058,1,0.1827844237397863,4
humans,0.032812484206411696,0.2132431820647548,1,0.1804306978583431,4
ape,0.032812484206411696,0.2132431820647548,1,0.1804306978583431,4
dna,0.032869506128975184,0.2110487241985768,1,0.1781792180696016,4
throw,0.032923994453292194,0.208944940834249,1,0.1760209463809568,4
killing,0.03320831785192302,0.1978564599708277,1,0.1646481421189047,4
who,0.033238422713664284,0.2663873723461382,13,0.2331489496324739,61
sounds,0.03324994592803748,0.196217022462994,1,0.1629670765349565,4
imagine,0.03324994592803748,0.196217022462994,1,0.1629670765349565,4
hundreds,0.03332923791065448,0.1930827138120451,1,0.1597534759013906,4
words,0.033403780690050705,0.1901221511447543,1,0.1567183704547036,4
knows,0.033439445463824186,0.188700829837502,1,0.1552613843736778,4
15,0.033439445463824186,0.188700829837502,1,0.1552613843736778,4
month,0.0335407125553458,0.1846477783647201,1,0.1511070658093743,4
information,0.03363440241049659,0.1808748356275218,1,0.1472404332170252,4
matter,0.033693191378567605,0.1784958238477738,1,0.1448026324692062,4
myself,0.03377652586277649,0.1751080427946773,1,0.1413315169319008,4
s,0.03383768947961813,0.2721965516600097,24,0.2383588621803916,117
party,0.033879709272752107,0.1708877835630655,1,0.1370080742903134,4
community,0.0339283048282461,0.1688902510007865,1,0.1349619461725404,4
000,0.033997870758858406,0.16601947886853,1,0.1320216081096716,4
v,0.0340202362001244,0.1650936864830309,1,0.1310734502829065,4
german,0.034042214253051206,0.1641825735674944,1,0.1301403593144432,4
of,0.03407493887134261,0.3549742173151446,73,0.320899278443802,377
4,0.034400658237527484,0.1491280997867173,1,0.1147274415491898,4
left,0.0346015784117609,0.255204443183,4,0.2206028647712391,17
anything,0.03531380205533699,0.2326440728592182,4,0.1973302708038812,17
said,0.03533062649907942,0.2633634067274727,6,0.2280327802283933,26
races,0.03584530985079881,0.2327447666633402,2,0.1968994568125414,8
power,0.03588094459744501,0.2315423195866837,2,0.1956613749892387,8
with,0.03615853573261829,0.325219590510501,33,0.2890610547778827,159
others,0.03625305410374591,0.2188559957063084,2,0.1826029416025625,8
and,0.036423781786655396,0.4001979700983344,104,0.363774188311679,538
getting,0.036481959267551406,0.2109302255192912,2,0.1744482662517398,8
couple,0.0366388047550536,0.2054438543120903,2,0.1688050495570367,8
post,0.03768105436336058,0.1677440618783678,2,0.1300630075150072,8
1,0.03768105436336058,0.1677440618783678,2,0.1300630075150072,8
hope,0.03770022385128621,0.2354149436592158,5,0.1977147198079296,21
2,0.037765498306619794,0.1645879364737195,2,0.1268224381670997,8
media,0.03787364004751001,0.2462990496013595,3,0.2084254095538495,12
very,0.03828035584848802,0.2176025622454821,5,0.1793222063969941,21
for,0.03842058332682313,0.3039997629876459,36,0.2655791796608228,173
did,0.0388273184904086,0.2734220462839977,8,0.2345947277935891,34
good,0.03907741857532471,0.2428703355203351,9,0.2037929169450104,39
against,0.04001723823137901,0.2402773005902316,4,0.2002600623588526,16
white,0.040199629659025515,0.303516244043614,31,0.2633166143845885,145
black,0.04029548760697221,0.288330105380994,15,0.2480346177740218,66
only,0.04164368268087851,0.2902716911457167,12,0.2486280084648382,51
after,0.04217450381467741,0.2662685235576011,6,0.2240940197429237,24
www,0.042196057651154,0.171988942016267,4,0.129792884365113,16
home,0.04256648154329348,0.2557391896005944,6,0.2131727080573009,24
had,0.042837046617488495,0.2800621237201485,11,0.23722507710266,46
rest,0.04398542618938342,0.2620914421942016,3,0.2181060160048182,11
end,0.044549559290463,0.2462990496013595,3,0.2017494903108965,11
history,0.04457956955692141,0.2454466358599194,3,0.200867066302998,11
wonder,0.04480926219832207,0.2520262879691483,4,0.2072170257708262,15
away,0.04522395808718052,0.2268246267988885,3,0.181600668711708,11
else,0.04522395808718052,0.2268246267988885,3,0.181600668711708,11
gay,0.045265604408882304,0.2391961121216568,2,0.1939305077127745,7
happen,0.045311645809375994,0.2378421421798994,2,0.1925304963705234,7
ask,0.04540003061695319,0.2352330264450285,2,0.1898329958280753,7
poor,0.04552429601813529,0.2315423195866837,2,0.1860180235685484,7
pride,0.045816074289928205,0.2227705487122938,2,0.1769544744223656,7
back,0.04583953888075168,0.2637132434503512,9,0.2178737045695995,36
students,0.0458491719483638,0.2217659023733082,2,0.1759167304249444,7
other,0.04602036880263527,0.2592258902791836,9,0.2132055214765483,36
both,0.04609251329083042,0.2143172403376485,2,0.1682247270468181,7
point,0.046148144445218475,0.2125986654345295,2,0.166450520989311,7
nation,0.04617527502228519,0.2117583761555309,2,0.1655831011332457,7
lol,0.046279564195303796,0.208514971524368,2,0.1622354073290642,7
says,0.046377682347965715,0.2054438543120903,2,0.1590661719641246,7
half,0.04640133145197631,0.2047007455839786,2,0.1582994141320023,7
day,0.047041371521362424,0.2347600214861202,6,0.1877186499647578,23
3,0.04711551401783001,0.1817015799134404,2,0.1345860658956104,7
over,0.04716949719102878,0.2540077643182623,7,0.2068382671272335,27
own,0.0474359918824753,0.2879384380377119,9,0.2405024461552366,35
this,0.04758811441983071,0.2731336488075029,25,0.2255455343876722,109
is,0.04806314809943846,0.2995798051629441,42,0.2515166570635056,191
in,0.04856874339523409,0.3561658695223517,67,0.3075971261271176,313
hierarchy,0.04922983948684889,0.2793635465850144,1,0.2301337070981655,3
