word,npmi-bias,him-npmi,him-count,straight-npmi,straight-count
berber,-0.1463015993122368,0.3501203596120513,1,0.4964219589242881,1
do,-0.14132679449675958,0.2314193796318925,9,0.3727461741286521,4
com,-0.1321512195507477,0.2078782643865963,4,0.340029483937344,2
went,-0.12699826582484253,0.2660301870122074,4,0.3930284528370499,2
only,-0.11851886647223248,0.1545253284405032,2,0.2730441949127357,1
any,-0.11829039578284903,0.1584311033276715,2,0.2767214991105205,1
its,-0.1176141470561583,0.1696823185637002,2,0.2872964656198585,1
kids,-0.11759708530112459,0.1699605316686892,2,0.2875576169698138,1
years,-0.11756270289581419,0.1705203699199446,2,0.2880830728157588,1
much,-0.116769280449844,0.1831527220635978,2,0.2999220025134418,1
can,-0.11446666107935102,0.24468746548148,8,0.359154126560831,3
wonder,-0.1141145079872222,0.2220657684426263,2,0.3361802764298485,1
who,-0.11401954676992848,0.2502328775065798,8,0.3642524242765083,3
looks,-0.11397525945152343,0.2239867878805612,2,0.3379620473320846,1
no,-0.11263211648472057,0.2074761707059429,5,0.3201082871906635,2
reason,-0.112480557308163,0.2439802932247864,2,0.3564608505329494,1
gets,-0.11203009810502709,0.24979809086954,2,0.3618281889745671,1
power,-0.11142558504291228,0.2574679271880667,2,0.368893512230979,1
summer,-0.10995512575973188,0.2755199297769435,2,0.3854750555366754,1
ass,-0.10883745780473209,0.2887232099089763,2,0.3975606677137084,1
the,-0.1073205475485075,0.3451652325172628,68,0.4524857800657703,16
himself,-0.10695064483132499,0.3101238402101849,2,0.4170744850415099,1
god,-0.1057732680413408,0.2960737799490826,5,0.4018470479904234,2
it,-0.1053983390868597,0.2788408735967109,25,0.3842392126835706,7
all,-0.10082447087969343,0.2618808648686465,13,0.3627053357483399,4
me,-0.09549462776333861,0.2123035189495584,6,0.307798146712897,2
what,-0.09477202223919859,0.2243939958504739,6,0.3191660180896725,2
an,-0.0943223025853164,0.2317170440227769,6,0.3260393466080933,2
should,-0.09274202297925999,0.2563665288093287,6,0.3491085517885887,2
year,-0.0829848713405591,0.2045727456292547,3,0.2875576169698138,1
over,-0.08286169575615707,0.2070945841781602,3,0.2899562799343173,1
news,-0.08256646199389209,0.2130620237661808,3,0.2956284857600729,1
own,-0.08235614438947819,0.2172493143846898,3,0.299605458774168,1
looking,-0.08218279168180873,0.2206623756158038,3,0.3028451672976125,1
something,-0.08160921267123997,0.2317220530075408,3,0.3133312656787808,1
ago,-0.08158718665508982,0.2321399190315707,3,0.3137271056866605,1
keep,-0.08074348732410858,0.2477940143855784,3,0.328537501709687,1
hair,-0.08039579005050396,0.2540576416843928,3,0.3344534317348968,1
once,-0.08025809774923232,0.2565098123896824,3,0.3367679101389147,1
life,-0.08022261619040022,0.257139168741038,3,0.3373617849314382,1
weeks,-0.0791017803203396,0.2765158895546215,3,0.3556176698749611,1
knew,-0.0777065715860672,0.2994130053547445,3,0.3771195769408117,1
down,-0.07636923843646837,0.2894516795970472,7,0.3658209180335156,2
black,-0.06523094764251303,0.2567999014870634,8,0.3220308491295764,2
when,-0.06077424736975218,0.3067490844630921,13,0.3675233318328443,3
here,-0.05882858547762551,0.1826600502209034,4,0.2414886356985289,1
good,-0.058364195233300775,0.1966091049117622,4,0.254973300145063,1
www,-0.058184843887593596,0.2018450452465826,4,0.2600298891341762,1
old,-0.0572674075073957,0.2274732232698586,4,0.2847406307772543,1
day,-0.05724801438224872,0.2279958913121705,4,0.2852439056944192,1
find,-0.05682972396254987,0.2390959885630337,4,0.2959257125255836,1
love,-0.05526414977163119,0.2780667905048632,4,0.3333309402764944,1
t,-0.054317868422779025,0.2299151775094846,9,0.2842330459322636,2
n,-0.054195769611654065,0.233224920540254,9,0.2874206901519081,2
as,-0.054067449406004775,0.2753839819160887,14,0.3294514313220935,3
head,-0.053874902212031894,0.3098739444526677,4,0.3637488466646996,1
is,-0.05356669672661052,0.2734735698798907,25,0.3270402666065012,5
one,-0.05332016060085798,0.2562157149608356,9,0.3095358755616936,2
then,-0.051728588488011706,0.2951403568001886,9,0.3468689452882003,2
with,-0.0508386590715974,0.3329005679756812,25,0.3837392270472786,5
like,-0.04574097515071851,0.2867819943902773,15,0.3325229695409958,3
just,-0.04532866234814986,0.2974825511386167,15,0.3428112134867666,3
are,-0.0441948129371213,0.1923335595234686,10,0.2365283724605899,2
about,-0.042087873244624596,0.2621328568110203,10,0.3042207300556449,2
got,-0.03996229799829032,0.3234776360207465,10,0.3634399340190368,2
has,-0.0370601405414932,0.2242031001817263,5,0.2612632407232195,1
white,-0.03701993152770322,0.3024393613720301,22,0.3394592928997333,4
now,-0.03651621185410789,0.2450433591567677,5,0.2815595710108756,1
around,-0.03632845475478663,0.2520189412789108,5,0.2883473960336974,1
could,-0.036197673502513794,0.256816220930708,5,0.2930138944332218,1
video,-0.03617342800410922,0.257700187570523,5,0.2938736155746322,1
look,-0.03611536524891468,0.2598103472766689,5,0.2959257125255836,1
out,-0.030182179014425492,0.3167769729442369,17,0.3469591519586624,3
and,-0.029559935930562886,0.3997498253102883,74,0.4293097612408512,12
you,-0.026159820320456828,0.2881604462719304,24,0.3143202665923872,4
my,-0.02250399734023889,0.2468672368831632,12,0.2693712342234021,2
on,-0.020231691641783567,0.3095887881335571,25,0.3298204797753407,4
a,-0.020051791012197562,0.3617843053972533,58,0.3818360964094509,9
time,-0.019108122619431622,0.2520667157663229,6,0.2711748383857545,1
say,-0.018963145565055406,0.260480061941201,6,0.2794432075062564,1
few,-0.018954951824811495,0.2609527984506781,6,0.2799077502754896,1
did,-0.018658470537267213,0.2778658915689478,6,0.296524362106215,1
s,-0.017465327221228677,0.2848163546720277,19,0.3022816818932564,3
of,-0.017138122232622732,0.3077842161310669,39,0.3249223383636896,6
at,-0.016654360349375896,0.326616912749491,19,0.3432712730988669,3
for,-0.015067204121518796,0.305286159987585,26,0.3203533641091038,4
up,-0.012573096539600703,0.296611969235617,13,0.3091850657752177,2
get,-0.01248404662492869,0.3023983674822905,13,0.3148824141072192,2
will,-0.004229883577629601,0.2139581321178905,7,0.2181880156955201,1
your,-0.004205275576185996,0.2166336237950578,7,0.2208388993712438,1
her,-0.0037349415071935566,0.2693092534055421,7,0.2730441949127357,1
off,-0.0034644113911492247,0.301065923967625,7,0.3045303353587742,1
said,-0.0033938439425205136,0.3095441633532902,7,0.3129380072958107,1
guy,-0.0032390090278531236,0.3284488751627865,7,0.3316878841906396,1
in,-0.0009653437494865913,0.3113532887371724,36,0.312318632486659,5
by,0.00982637210909168,0.253654106296926,8,0.2438277341878343,1
they,0.01159501204129132,0.2520456130388453,16,0.240450600997554,2
this,0.011609063344707404,0.2590682578196043,16,0.2474591944748969,2
or,0.011645389756082924,0.2981050489719611,16,0.2864596592158782,2
go,0.022141783532292514,0.2885663708786817,9,0.2664245873463892,1
from,0.02591890699397803,0.3214803030667667,18,0.2955613960727887,2
if,0.03271023841673382,0.319169897632612,19,0.2864596592158782,2
have,0.03990291875214533,0.2789941667429293,20,0.239091247990784,2
was,0.04311675163996781,0.3616073944378304,30,0.3184906427978626,3
see,0.04387563184603477,0.2978790009828294,11,0.2540033691367946,1
not,0.05462630123898718,0.2576699544442242,12,0.203043653205237,1
i,0.06356723265662301,0.3654189997152411,63,0.3018517670586181,6
to,0.0678085725301904,0.3927993638792215,74,0.3249907913490311,7
that,0.07014058837322151,0.2892306071997221,25,0.2190900188265006,2
be,0.08868159684414323,0.2884561914744113,16,0.1997745946302681,1
he,0.19520242161953832,0.4538485108642829,38,0.2586460892447446,1
him,0.367598749218682,0.6714495242197408,130,0.3038507750010588,1
