word,npmi-bias,himself-npmi,himself-count,she-npmi,she-count
are,0.12061356767048492,0.3048127100279323,2,0.1841991423574474,12
they,0.13003469880082938,0.3085494639410857,2,0.1785147651402563,11
www,0.13808832125948228,0.3166658899553392,1,0.1785775686958569,4
of,0.14028938370642302,0.4149799409649638,6,0.2746905572585408,40
youtube,0.1405988621037814,0.2921686342294594,1,0.151569772125678,4
one,0.1439124153637021,0.3740761974010825,2,0.2301637820373804,9
people,0.14521851088795582,0.36416702995922,2,0.2189485190712642,9
did,0.14774614815066622,0.430176060255964,2,0.2824299121052978,8
bad,0.1555900415667205,0.3801919606975366,1,0.2246019191308161,3
saw,0.1564874289973826,0.3735568716692449,1,0.2170694426718623,3
maybe,0.1570762518211568,0.3691428020004901,1,0.2120665501793333,3
before,0.1573767702209036,0.3668709390186548,1,0.2094941687977512,3
that,0.1582055615809297,0.4250147084592657,5,0.266809146878336,27
being,0.15886332430172023,0.3554351624630274,1,0.1965718381613072,3
find,0.15942682372382613,0.3510104423708422,1,0.1915836186470161,3
even,0.16023987843746806,0.3445342280246553,1,0.1842943495871872,3
here,0.1685998631181001,0.3809325094870698,2,0.2123326463689697,7
camera,0.1728935655272335,0.4722785906164142,1,0.2993850250891807,2
he,0.18132551759405352,0.3963642610234274,2,0.2150387434293739,6
more,0.18292806511414658,0.3863960505065221,2,0.2034679853923755,6
seems,0.1845772218428544,0.4070560788344652,1,0.2224788569916108,2
support,0.1854265658432229,0.4018609548850291,1,0.2164343890418062,2
lol,0.18565214239483538,0.4004688922664861,1,0.2148167498716507,2
couple,0.1860834316339254,0.3977926477519722,1,0.2117092161180468,2
guy,0.18808609989352582,0.3851016879367483,1,0.1970155880432225,2
jew,0.1883212056581207,0.3835820623019155,1,0.1952608566437948,2
negro,0.189054458910018,0.3788004256195708,1,0.1897459667095528,2
forum,0.18919268904003128,0.3778917138589484,1,0.1886990248189171,2
all,0.1896673684686357,0.3413723566180032,2,0.1517049881493675,6
d,0.1898471817897644,0.3735568716692449,1,0.1837096898794805,2
after,0.19038997685830283,0.3699204349915832,1,0.1795304581332804,2
stormfront,0.1910561477891151,0.3654043928935807,1,0.1743482451044656,2
show,0.19181148145581442,0.3602105552189666,1,0.1683990737631522,2
home,0.19181148145581442,0.3602105552189666,1,0.1683990737631522,2
anyone,0.19271026937528077,0.353924139493649,1,0.1612138701183682,2
into,0.1939148157503373,0.3453077468697635,1,0.1513929311194262,2
way,0.19421898365887652,0.4215089305525874,2,0.2272899468937109,5
his,0.19436575558549601,0.3420226729240841,1,0.1476569173385881,2
than,0.19522076120341778,0.3357003369771204,1,0.1404795757737026,2
any,0.19562698765451378,0.3326518904910585,1,0.1370249028365447,2
new,0.1961174993644373,0.3289311258979525,1,0.1328136265335152,2
by,0.20771090992650218,0.4359243480562185,3,0.2282134381297163,8
him,0.21153080391447854,0.4366755076356669,2,0.2251447037211884,4
murders,0.2223076055773352,0.4758419842921146,1,0.2535343787147794,1
ukrainian,0.2223076055773352,0.4758419842921146,1,0.2535343787147794,1
yesterday,0.225194803634587,0.4631910127477455,1,0.2379962091131585,1
protect,0.22632800792006302,0.4581012316049836,1,0.2317732236849206,1
suspect,0.22684074704910598,0.4557740224658173,1,0.2289332754167113,1
trouble,0.22732330302131423,0.4535696646876842,1,0.22624636166637,1
racism,0.227779058400468,0.4514749232260029,1,0.2236958648255349,1
drug,0.2304122978216631,0.4391174948061793,1,0.2087051969845162,1
scene,0.2307281550998109,0.4376048117284454,1,0.2068766566286345,1
set,0.23335930148234119,0.4247318541129861,1,0.1913725526306449,1
killed,0.2335815935010803,0.4236210647752854,1,0.1900394712742051,1
funny,0.23441534701352298,0.4194209129529767,1,0.1850055659394537,1
page,0.2346112612531391,0.4184260615531236,1,0.1838148002999845,1
either,0.23517255229730372,0.4155587891066234,1,0.1803862368093197,1
e,0.2353514721369736,0.4146394211534098,1,0.1792879490164362,1
future,0.2365057087495512,0.408644140585384,1,0.1721384318358328,1
reason,0.2365057087495512,0.408644140585384,1,0.1721384318358328,1
who,0.2369803742115166,0.4330017289130046,3,0.196021354701488,6
might,0.2376528018482107,0.4025714180635226,1,0.1649186162153119,1
police,0.2391195543798714,0.3946300137447628,1,0.1555104593648914,1
story,0.23986767206495818,0.3904990235269153,1,0.1506313514619571,1
trying,0.2400694116558941,0.3893753639885989,1,0.1493059523327048,1
org,0.24185179363345988,0.3792604058314157,1,0.1374086121979558,1
https,0.2430401226119196,0.3723187620458866,1,0.129278639433967,1
live,0.24595784618014008,0.3545240253909668,1,0.1085661792108267,1
these,0.2496284532587626,0.3303530844874243,1,0.0807246312286617,1
friend,0.25760302264061097,0.4868381071024025,2,0.2292350844617915,2
