word,npmi-bias,himself-npmi,himself-count,his-npmi,his-count
d,0.2474596671177797,0.3735568716692449,1,0.1260972045514652,1
https,0.2476490001137563,0.3723187620458866,1,0.1246697619321303,1
before,0.2484704934524132,0.3668709390186548,1,0.1184004455662416,1
stormfront,0.24868841799254748,0.3654043928935807,1,0.1167159749010332,1
show,0.2494492581516104,0.3602105552189666,1,0.1107612970673562,1
live,0.25026275554332555,0.3545240253909668,1,0.1042612698476412,1
anyone,0.2503473875577308,0.353924139493649,1,0.1035767519359182,1
expressed,0.2856842640355998,0.5757131329421725,2,0.2900288689065727,1
here,0.2865485384726704,0.3809325094870698,2,0.0943839710143994,2
himself,0.5144056218195441,0.7499121899325186,12,0.2355065681129745,1
