word,npmi-bias,gay-npmi,gay-count,woman-npmi,woman-count
keep,0.08167851223594291,0.349768091614246,2,0.2680895793783031,2
that,0.08257983691771209,0.3585699924174608,9,0.2759901554997487,12
my,0.08291487241551979,0.3236639425006842,5,0.2407490700851644,6
its,0.08371794971413818,0.3091159590657023,2,0.2253980093515641,2
then,0.0843454055280764,0.295047611471362,2,0.2107022059432856,2
how,0.08469339860958369,0.2868299306696957,2,0.202136532060112,2
know,0.084701042106339,0.2866457459731065,2,0.2019447038667675,2
video,0.08890708032989691,0.3586702531879376,3,0.2697631728580407,3
well,0.0896708223326852,0.3457723574452653,3,0.2561015351125801,3
because,0.0897977394935483,0.3435654563470742,3,0.2537677168535259,3
will,0.09272180413806497,0.2860229890669719,3,0.1933011849289069,3
s,0.09553145605624763,0.3521118307945456,7,0.256580374738298,8
t,0.1023467095401499,0.3380134679518958,5,0.2356667584117459,5
of,0.11134196160568699,0.4214432869429458,17,0.3101013253372588,21
they,0.1121568446359626,0.3415974027488728,7,0.2294405581129102,7
children,0.1247642217779733,0.3787406693376116,3,0.2539764475596383,2
n,0.12590729957078808,0.3410878945627996,5,0.2151805949920115,4
race,0.1273533769137354,0.3478252474003401,3,0.2204718704866047,2
do,0.12743841852985438,0.311483384651383,4,0.1840449661215286,3
when,0.13004508929911562,0.3108573159478735,3,0.1808122266487579,2
important,0.13536434525871016,0.3988216212399497,2,0.2634572759812395,1
proud,0.137352747774467,0.3789443112828268,2,0.2415915635083598,1
full,0.1376732736826963,0.3755997575327099,2,0.2379264838500136,1
young,0.1377496720382466,0.3747963099624649,2,0.2370466379242183,1
high,0.13940727279281528,0.3567200648421205,2,0.2173127920493052,1
first,0.14217685237870423,0.3231548763674664,2,0.1809780239887622,1
kids,0.14319914521266622,0.3093736463117378,2,0.1661745010990716,1
his,0.14327250496735,0.3083489917165534,2,0.1650764867492034,1
say,0.14376276843464308,0.3013652923481402,2,0.1576025239134971,1
has,0.14494559199010687,0.2834110779089208,2,0.1384654859188139,1
from,0.1457373536239688,0.3930186576832394,7,0.2472813040592706,5
people,0.1542036463276879,0.3522953897597632,5,0.1980917434320753,3
are,0.166988654823536,0.374511655462606,9,0.20752300063907,6
is,0.16703819229544048,0.4381859402767081,16,0.2711477479812676,13
this,0.16914733175671898,0.3672135959579981,8,0.1980662642012791,5
last,0.18520313050407408,0.3641396245458601,3,0.178936494041786,1
so,0.1924543427562759,0.2869969161341534,3,0.0945425733778775,1
