word,npmi-bias,straight-npmi,straight-count,them-npmi,them-count
s,0.07551785531597499,0.3022816818932564,3,0.2267638265772814,44
could,0.0766151160129285,0.2930138944332218,1,0.2163987784202933,12
all,0.07727563348609501,0.3627053357483399,4,0.2854297022622449,59
over,0.08446802072931267,0.2899562799343173,1,0.2054882592050046,11
can,0.08552892784382882,0.359154126560831,3,0.2736251987170022,39
it,0.0857771539204924,0.3842392126835706,7,0.2984620587630782,107
seen,0.09085427985864666,0.3208912300640607,1,0.230036950205414,10
thing,0.09149009451305962,0.3110091857556802,1,0.2195190912426206,10
did,0.09238870146475062,0.296524362106215,1,0.2041356606414644,10
me,0.09283109521356953,0.307798146712897,2,0.2149670514993275,23
he,0.09455219376940768,0.2586460892447446,1,0.1640938954753369,10
people,0.0951984458852056,0.3852651725382018,4,0.2900667266529962,50
keep,0.09924419788622879,0.328537501709687,1,0.2292933038234582,9
was,0.100499640817066,0.3184906427978626,3,0.2179910019807966,35
years,0.10196077096901168,0.2880830728157588,1,0.1861223018467471,9
her,0.10288288160514059,0.2730441949127357,1,0.1701613133075951,9
who,0.10329145792052696,0.3642524242765083,3,0.2609609663559813,33
there,0.10584122936177082,0.37429384150499,4,0.2684526121432192,46
more,0.10599430743815319,0.3708199217474519,3,0.2648256143092987,32
wait,0.10694994938830518,0.3547878094624173,1,0.2478378600741121,8
without,0.10694994938830518,0.3547878094624173,1,0.2478378600741121,8
wonder,0.1084465831738872,0.3361802764298485,1,0.2277336932559613,8
world,0.1107791560411755,0.3048729285500753,1,0.1940937725088998,8
the,0.11092290919664366,0.4524857800657703,16,0.3415628708691266,248
down,0.1122993765107756,0.3658209180335156,2,0.25352154152274,18
reason,0.11756844630704621,0.3564608505329494,1,0.2388924042259032,7
once,0.1192717483511044,0.3367679101389147,1,0.2174961617878103,7
love,0.1195584341252438,0.3333309402764944,1,0.2137725061512506,7
ca,0.1196042676539826,0.3327779461172205,1,0.2131736784632379,7
an,0.1211885997070663,0.3260393466080933,2,0.204850746901027,17
year,0.1230790027833453,0.2875576169698138,1,0.1644786141864685,7
pass,0.1287559917741364,0.3667725259897731,1,0.2380165342156367,6
got,0.1295065621332435,0.3634399340190368,2,0.2339333718857933,15
looks,0.13147729155828133,0.3379620473320846,1,0.2064847557738033,6
life,0.1315313490077153,0.3373617849314382,1,0.2058304359237229,6
two,0.1339821576302503,0.3087726211975152,1,0.1747904635672649,6
looking,0.13446007521636721,0.3028451672976125,1,0.1683850920812453,6
almost,0.14369213464462768,0.3581890960496369,1,0.2144969614050092,5
getting,0.1445212356188686,0.3500647124341486,1,0.20554347681528,5
half,0.14509084941892397,0.3443524322234662,1,0.1992615828045422,5
please,0.1465627141980049,0.3290506646245594,1,0.1824879504265545,5
ago,0.1479583185817716,0.3137271056866605,1,0.1657687871048889,5
said,0.14802807353756914,0.3129380072958107,1,0.1649099337582416,5
day,0.1503459784585375,0.2852439056944192,1,0.1348979272358817,5
old,0.15038576875265602,0.2847406307772543,1,0.1343548620245983,5
stare,0.1506156054319004,0.436339089916014,1,0.2857234844841136,4
aids,0.15557000213163372,0.3995789087337454,1,0.2440089066021117,4
simple,0.1558265598973449,0.3975606677137084,1,0.2417341078163635,4
ground,0.15714038656933163,0.3870214974355554,1,0.2298811108662238,4
into,0.15920135894011167,0.4095634908864201,3,0.2503621319463084,18
gets,0.16010594424345018,0.3618281889745671,1,0.2017222447311169,4
person,0.1615680671162716,0.396571016017004,2,0.2350029489007324,10
problem,0.16187331428991378,0.3457249765121749,1,0.1838516622222611,4
trying,0.16287410028764698,0.3361802764298485,1,0.1733061761422015,4
guy,0.1633331536603814,0.3316878841906396,1,0.1683547305302582,4
tv,0.16344131784483698,0.3306183309373746,1,0.1671770130925376,4
town,0.1635990735582647,0.3290506646245594,1,0.1654515910662947,4
news,0.1667423270062276,0.2956284857600729,1,0.1288861587538453,4
video,0.1668958242470304,0.2938736155746322,1,0.1269777913276018,4
www,0.1696334732129046,0.2600298891341762,1,0.0903964159212716,4
doubt,0.1764347085361423,0.3975606677137084,1,0.2211259591775661,3
throw,0.176954520123708,0.3937742356003864,1,0.2168197154766784,3
fear,0.1784606815686596,0.3825254873162381,1,0.2040648057475785,3
stand,0.1802099788968766,0.368893512230979,1,0.1886835333341024,3
head,0.18084865006026518,0.3637488466646996,1,0.1829001966044344,3
nothing,0.18107442398822743,0.3909234051350006,2,0.2098489811467732,8
full,0.18193310469683618,0.3547878094624173,1,0.1728547047655811,3
run,0.18193310469683618,0.3547878094624173,1,0.1728547047655811,3
nationalist,0.18426292831026808,0.3344534317348968,1,0.1501905034246287,3
something,0.18649231846807648,0.3133312656787808,1,0.1268389472107043,3
him,0.18743040491355598,0.3038507750010588,1,0.1164203700875028,3
hilarious,0.1988452832004525,0.431686093081261,1,0.2328408098808085,2
tests,0.1995510081664458,0.4275176265008157,1,0.2279666183343699,2
homosexuals,0.20018292549367028,0.4237366481945974,1,0.2235537227009271,2
ammo,0.20075496614188318,0.4202730543893349,1,0.2195180882474517,2
issue,0.2012774479499261,0.4170744850415099,1,0.2157970370915838,2
shop,0.2017582277317035,0.414100759044878,1,0.2123425313131745,2
sex,0.2022034275339696,0.4113203411679493,1,0.2091169136339797,2
floor,0.2022034275339696,0.4113203411679493,1,0.2091169136339797,2
god,0.2027808603446505,0.4018470479904234,2,0.1990661876457729,6
air,0.2043453536641537,0.3975606677137084,1,0.1932153140495547,2
promote,0.20463803319281962,0.3956282860595519,1,0.1909902528667323,2
attention,0.20543833802168482,0.3902756933947337,1,0.1848373553730489,2
add,0.2056827488111398,0.3886203737531715,1,0.1829376249420317,2
event,0.2059174433486012,0.3870214974355554,1,0.1811040540869542,2
force,0.2067725131609025,0.3811162280957463,1,0.1743437149348438,2
groups,0.2076909774286731,0.3746263385818635,1,0.1669353611531904,2
download,0.2080212777945273,0.3722532910234646,1,0.1642320132289373,2
job,0.2094373487617332,0.3618281889745671,1,0.1523908402128339,2
community,0.2099182890000386,0.3581890960496369,1,0.1482708070495983,2
open,0.2101442788090617,0.3564608505329494,1,0.1463165717238877,2
com,0.211386916111546,0.340029483937344,2,0.128642567825798,6
woman,0.2125387811549688,0.3373617849314382,1,0.1248230037764694,2
5,0.2129539540156308,0.3338893957534928,1,0.120935441737862,2
https,0.2147461651391802,0.3182630731516301,1,0.1035169080124499,2
eyes,0.2179806799419023,0.3961156168248749,2,0.1781349368829726,5
went,0.2184678457110658,0.3930284528370499,2,0.1745606071259841,5
either,0.2286083780225263,0.4324687230338948,2,0.2038603450113685,4
buddylist,0.22901396467783441,0.4964219589242881,1,0.2674079942464537,1
thebest,0.22901396467783441,0.4964219589242881,1,0.2674079942464537,1
orientation,0.22901396467783441,0.4964219589242881,1,0.2674079942464537,1
heterosexual,0.22901396467783441,0.4964219589242881,1,0.2674079942464537,1
psychos,0.22901396467783441,0.4964219589242881,1,0.2674079942464537,1
infiltrate,0.22901396467783441,0.4964219589242881,1,0.2674079942464537,1
methinks,0.22901396467783441,0.4964219589242881,1,0.2674079942464537,1
left,0.2327872222995325,0.4094065070374779,2,0.1766192847379454,4
perverts,0.23362798141471558,0.4765466728978905,1,0.2429186914831749,1
sexuality,0.23362798141471558,0.4765466728978905,1,0.2429186914831749,1
kazaa,0.23362798141471558,0.4765466728978905,1,0.2429186914831749,1
40s,0.23362798141471558,0.4765466728978905,1,0.2429186914831749,1
haymaker,0.23362798141471558,0.4765466728978905,1,0.2429186914831749,1
saw,0.23589491005851101,0.3909234051350006,2,0.1550284950764896,4
deviant,0.236356661605226,0.4641758988764889,1,0.2278192372712629,1
chasing,0.23830254747494192,0.4550380408113041,1,0.2167354933363622,1
signature,0.23830254747494192,0.4550380408113041,1,0.2167354933363622,1
pub,0.2398159716559158,0.4477326564723923,1,0.2079166848164765,1
hiv,0.2410543075247739,0.4416167199798194,1,0.2005624124550455,1
files,0.2410543075247739,0.4416167199798194,1,0.2005624124550455,1
havent,0.242102012699541,0.436339089916014,1,0.194237077216473,1
meat,0.24300973615305999,0.431686093081261,1,0.188676356928201,1
older,0.24381026981665602,0.4275176265008157,1,0.1837073566841597,1
homosexual,0.24381026981665602,0.4275176265008157,1,0.1837073566841597,1
catch,0.24452607297769158,0.4237366481945974,1,0.1792105752169058,1
turns,0.24452607297769158,0.4237366481945974,1,0.1792105752169058,1
contact,0.24452607297769158,0.4237366481945974,1,0.1792105752169058,1
centre,0.24517320664071338,0.4202730543893349,1,0.1750998477486215,1
broke,0.24517320664071338,0.4202730543893349,1,0.1750998477486215,1
racially,0.24630616453322368,0.414100759044878,1,0.1677945945116543,1
station,0.24812037562931272,0.4039091932825175,1,0.1557888176532048,1
road,0.24812037562931272,0.4039091932825175,1,0.1557888176532048,1
normal,0.2485058389131849,0.4016917077653674,1,0.1531858688521825,1
19,0.2485058389131849,0.4016917077653674,1,0.1531858688521825,1
male,0.24880578789825383,0.4362836667463296,2,0.1874778788480758,3
face,0.24974860110721392,0.4315604574058303,2,0.1818118562986164,3
forward,0.24985523892618489,0.3937742356003864,1,0.1439189966742015,1
wow,0.2507111541722574,0.3886203737531715,1,0.1379092195809141,1
language,0.2507111541722574,0.3886203737531715,1,0.1379092195809141,1
cross,0.2507111541722574,0.3886203737531715,1,0.1379092195809141,1
security,0.2507111541722574,0.3886203737531715,1,0.1379092195809141,1
summer,0.2512248374410516,0.3854750555366754,1,0.1342502180956238,1
point,0.2517866260393913,0.4210683608800969,2,0.1692817348407056,3
knew,0.25255766929115375,0.3771195769408117,1,0.124561907649658,1
info,0.2533127542439647,0.3722532910234646,1,0.1189405367794999,1
power,0.25382503084293667,0.368893512230979,1,0.1150684813880423,1
local,0.2545951843688976,0.3637488466646996,1,0.109153662295802,1
band,0.2545951843688976,0.3637488466646996,1,0.109153662295802,1
oh,0.2548782926699431,0.3618281889745671,1,0.106949896304624,1
weeks,0.25577737307574916,0.3556176698749611,1,0.0998402967992119,1
college,0.25706259202389903,0.3464244734853606,1,0.0893618814614616,1
hair,0.25865510024764227,0.3344534317348968,1,0.0757983314872545,1
straight,0.5259459845152825,0.7448734703517508,21,0.2189274858364683,3
