word,npmi-bias,gay-npmi,gay-count,she-npmi,she-count
important,0.2017680292360854,0.3988216212399497,2,0.1970535920038643,1
community,0.2048520822158518,0.3789443112828268,2,0.174092229066975,1
open,0.20510653205364918,0.377244963889482,2,0.1721384318358328,1
young,0.20547064007989188,0.3747963099624649,2,0.169325669882573,1
hell,0.2075724881327384,0.3602472746417441,2,0.1526747865090057,1
friends,0.2090214863167749,0.349768091614246,2,0.1407466052974711,1
youtube,0.21138128925620012,0.3629510613818781,5,0.151569772125678,4
re,0.21309536752879468,0.3179234831348536,2,0.1048281156060589,1
its,0.21413556683513588,0.3091159590657023,2,0.0949803922305664,1
these,0.21558220327322158,0.2963068345018833,2,0.0807246312286617,1
pride,0.2755774636458267,0.4527303153136059,4,0.1771528516677792,1
