word,npmi-bias,straight-npmi,straight-count,their-npmi,their-count
info,0.17215027741296202,0.3722532910234646,1,0.2001030136105026,4
head,0.1732002849938858,0.3637488466646996,1,0.1905485616708138,4
community,0.17387040389605318,0.3581890960496369,1,0.1843186921535837,4
god,0.17602606682535293,0.4018470479904234,2,0.2258209811650705,10
into,0.17603182394548897,0.4095634908864201,3,0.2335316669409311,18
once,0.17633247216454612,0.3367679101389147,1,0.1604354379743686,4
nationalist,0.17658716065793859,0.3344534317348968,1,0.1578662710769582,4
video,0.18069790837327943,0.2938736155746322,1,0.1131757072013528,4
com,0.1840821484793206,0.340029483937344,2,0.1559473354580234,10
eyes,0.1855536229543763,0.3961156168248749,2,0.2105619938704986,9
saw,0.1863045436251181,0.3909234051350006,2,0.2046188615098825,9
throw,0.1896117268337885,0.3937742356003864,1,0.2041625087665979,3
cross,0.1903510233030629,0.3886203737531715,1,0.1982693504501086,3
ground,0.19057777063320772,0.3870214974355554,1,0.1964437268023477,3
stand,0.1930628325203679,0.368893512230979,1,0.1758306797106111,3
gets,0.19398891610569569,0.3618281889745671,1,0.1678392728688714,3
oh,0.19398891610569569,0.3618281889745671,1,0.1678392728688714,3
almost,0.19445667202027628,0.3581890960496369,1,0.1637324240293606,3
full,0.19488820012310687,0.3547878094624173,1,0.1598996093393104,3
run,0.19488820012310687,0.3547878094624173,1,0.1598996093393104,3
person,0.19507594655337832,0.396571016017004,2,0.2014950694636257,8
him,0.2007042176017174,0.3038507750010588,1,0.1031465573993414,3
point,0.20178780577433852,0.4210683608800969,2,0.2192805551057584,7
left,0.20372096721551347,0.4094065070374779,2,0.2056855398219644,7
chasing,0.20634207478713792,0.4550380408113041,1,0.2486959660241662,2
failed,0.2098398547530993,0.436339089916014,1,0.2264992351629147,2
successful,0.2098398547530993,0.436339089916014,1,0.2264992351629147,2
homosexual,0.21141908323535671,0.4275176265008157,1,0.216098543265459,2
face,0.21188109558351673,0.4315604574058303,2,0.2196793618223136,6
homosexuals,0.21208215090310858,0.4237366481945974,1,0.2116544972914888,2
waiting,0.21208215090310858,0.4237366481945974,1,0.2116544972914888,2
contact,0.21208215090310858,0.4237366481945974,1,0.2116544972914888,2
centre,0.21268231677093938,0.4202730543893349,1,0.2075907376183955,2
issue,0.2132304249396873,0.4170744850415099,1,0.2038440601018226,2
beliefs,0.2132304249396873,0.4170744850415099,1,0.2038440601018226,2
station,0.2154247146358357,0.4039091932825175,1,0.1884844786466818,2
stopped,0.2157845799621852,0.4016917077653674,1,0.1859071278031822,2
normal,0.2157845799621852,0.4016917077653674,1,0.1859071278031822,2
aids,0.2161248581576555,0.3995789087337454,1,0.1834540505760899,2
ass,0.2164475433373501,0.3975606677137084,1,0.1811131243763583,2
simple,0.2164475433373501,0.3975606677137084,1,0.1811131243763583,2
doubt,0.2164475433373501,0.3975606677137084,1,0.1811131243763583,2
san,0.21732594259871438,0.3919919558262043,1,0.1746660132274899,2
attention,0.21759313439996053,0.3902756933947337,1,0.1726825589947732,2
add,0.2178492668423378,0.3886203737531715,1,0.1707711069108337,2
nothing,0.21877144252448322,0.3909234051350006,2,0.1721519626105174,6
weeks,0.22263660343972458,0.3556176698749611,1,0.1329810664352365,2
half,0.22413306998595128,0.3443524322234662,1,0.1202193622375149,2
either,0.22548523932846978,0.4324687230338948,2,0.206983483705425,5
please,0.2260551367467572,0.3290506646245594,1,0.1029955278778022,2
https,0.22733428290560243,0.3182630731516301,1,0.0909287902460277,2
went,0.2324613431109956,0.3930284528370499,2,0.1605671097260543,5
heterosexual,0.2395706130959286,0.4964219589242881,1,0.2568513458283595,1
infiltrate,0.2395706130959286,0.4964219589242881,1,0.2568513458283595,1
thebest,0.2395706130959286,0.4964219589242881,1,0.2568513458283595,1
orientation,0.2395706130959286,0.4964219589242881,1,0.2568513458283595,1
psychos,0.2395706130959286,0.4964219589242881,1,0.2568513458283595,1
perverts,0.2443565427359083,0.4765466728978905,1,0.2321901301619822,1
dope,0.2443565427359083,0.4765466728978905,1,0.2321901301619822,1
sexuality,0.2443565427359083,0.4765466728978905,1,0.2321901301619822,1
haymaker,0.2443565427359083,0.4765466728978905,1,0.2321901301619822,1
deviant,0.2471854282267174,0.4641758988764889,1,0.2169904706497715,1
equally,0.2471854282267174,0.4641758988764889,1,0.2169904706497715,1
signature,0.2492020593457013,0.4550380408113041,1,0.2058359814656028,1
pub,0.2507700730228007,0.4477326564723923,1,0.1969625834495916,1
immediately,0.2520527815899599,0.4416167199798194,1,0.1895639383898595,1
stare,0.253137814015562,0.436339089916014,1,0.183201275900452,1
francisco,0.2549064925114394,0.4275176265008157,1,0.1726111339893763,1
negroid,0.2556474454523929,0.4237366481945974,1,0.1680892027422045,1
turns,0.2556474454523929,0.4237366481945974,1,0.1680892027422045,1
broke,0.25631722759798636,0.4202730543893349,1,0.1639558267913485,1
became,0.256928163080213,0.4170744850415099,1,0.1601463219612969,1
blonde,0.256928163080213,0.4170744850415099,1,0.1601463219612969,1
shop,0.2574896282146244,0.414100759044878,1,0.1566111308302536,1
floor,0.2580089230643285,0.4113203411679493,1,0.1533114181036208,1
sex,0.2580089230643285,0.4113203411679493,1,0.1533114181036208,1
yahoo,0.2584918428091026,0.4087080088423838,1,0.1502161660332812,1
promote,0.2608375939864962,0.3956282860595519,1,0.1347906920730557,1
event,0.262315984003881,0.3870214974355554,1,0.1247055134316744,1
knew,0.2639534422560099,0.3771195769408117,1,0.1131661346848018,1
green,0.2643551194337821,0.3746263385818635,1,0.1102712191480814,1
texas,0.26454705088764996,0.3734255797441138,1,0.1088785288564638,1
download,0.2647334804832494,0.3722532910234646,1,0.1075198105402152,1
band,0.2660578989160768,0.3637488466646996,1,0.0976909477486228,1
5,0.2703220776827291,0.3338893957534928,1,0.0635673180707637,1
tv,0.27075314693455177,0.3306183309373746,1,0.0598651840028228,1
male,0.3338915419550903,0.4362836667463296,2,0.1023921247912393,1
straight,0.5659995239413074,0.7448734703517508,21,0.1788739464104434,2
