word,npmi-bias,her-npmi,her-count,straight-npmi,straight-count
them,-0.156347825536977,0.1946946051404327,9,0.3510424306774097,3
town,-0.1559524846064974,0.173098180018062,2,0.3290506646245594,1
tv,-0.15578185847003329,0.1748364724673413,2,0.3306183309373746,1
5,-0.1554232023307413,0.1784661934227515,2,0.3338893957534928,1
half,-0.15425204335401146,0.1901003888694547,2,0.3443524322234662,1
getting,-0.1535972134915086,0.19646749894264,2,0.3500647124341486,1
wait,-0.1530475186193858,0.2017402908430315,2,0.3547878094624173,1
weeks,-0.15295016217057297,0.2026675077043881,2,0.3556176698749611,1
open,-0.1528510059795929,0.2036098445533565,2,0.3564608505329494,1
reason,-0.1528510059795929,0.2036098445533565,2,0.3564608505329494,1
community,-0.1526470209290474,0.2055420751205895,2,0.3581890960496369,1
person,-0.1521411882489892,0.2444298277680148,5,0.396571016017004,2
head,-0.15198398194658258,0.211764864718117,2,0.3637488466646996,1
air,-0.1477262003026128,0.2498344674110956,2,0.3975606677137084,1
road,-0.14688327219813002,0.2570259210843875,2,0.4039091932825175,1
the,-0.14639190028242277,0.3060938797833475,91,0.4524857800657703,16
an,-0.1442511939240954,0.1817881526839979,6,0.3260393466080933,2
turns,-0.14416134787163137,0.279575300322966,2,0.4237366481945974,1
com,-0.1427322447840824,0.1972972391532616,6,0.340029483937344,2
what,-0.13042369799211828,0.1887423200975542,7,0.3191660180896725,2
over,-0.12738628288972498,0.1625699970445923,3,0.2899562799343173,1
find,-0.1268739657160628,0.1690517468095208,3,0.2959257125255836,1
got,-0.125813479832157,0.2376264541868798,7,0.3634399340190368,2
ca,-0.1235172670668789,0.2092606790503416,3,0.3327779461172205,1
trying,-0.1231904469948433,0.2129898294350052,3,0.3361802764298485,1
looks,-0.12301814775744813,0.2149438995746365,3,0.3379620473320846,1
eyes,-0.12208974698347819,0.2740258698413967,7,0.3961156168248749,2
their,-0.12011946773857513,0.1700738756925413,8,0.2901933434311164,2
just,-0.11912424260223978,0.2236869708845268,13,0.3428112134867666,3
can,-0.11741469736951232,0.2417394291913187,13,0.359154126560831,3
who,-0.11686915760835248,0.2473832666681558,13,0.3642524242765083,3
blonde,-0.11456595920619478,0.3025085258353151,3,0.4170744850415099,1
it,-0.1142931692560894,0.2699460434274812,39,0.3842392126835706,7
went,-0.1100686830954184,0.2829597697416315,8,0.3930284528370499,2
as,-0.10481720973776129,0.2246342215843322,15,0.3294514313220935,3
any,-0.10410889857834421,0.1726126005321763,4,0.2767214991105205,1
now,-0.10375254283651289,0.1778070281743627,4,0.2815595710108756,1
day,-0.10347828348543861,0.1817656222089806,4,0.2852439056944192,1
years,-0.1032652350569486,0.1848178377588102,4,0.2880830728157588,1
life,-0.0993301557361479,0.2380316291952903,4,0.3373617849314382,1
with,-0.09703952844427427,0.2866996986030043,29,0.3837392270472786,5
up,-0.09613799897816061,0.2130470667970571,10,0.3091850657752177,2
one,-0.09610977804229201,0.2134260975194016,10,0.3095358755616936,2
no,-0.09524995654196028,0.2248583306487032,10,0.3201082871906635,2
when,-0.09414407207461989,0.2733792597582244,16,0.3675233318328443,3
out,-0.08928153693554419,0.2576776150231182,17,0.3469591519586624,3
your,-0.08790859093704959,0.1329303084341942,5,0.2208388993712438,1
only,-0.08471071495691279,0.1883334799558229,5,0.2730441949127357,1
say,-0.08429335839572949,0.1951498491105269,5,0.2794432075062564,1
than,-0.08426284337568549,0.1956449068998041,5,0.2799077502754896,1
like,-0.0840181337807443,0.2485048357602515,18,0.3325229695409958,3
seen,-0.08145495827802388,0.2394362717860368,5,0.3208912300640607,1
guy,-0.08067702950272548,0.2510108546879141,5,0.3316878841906396,1
love,-0.08055724058886843,0.252773699687626,5,0.3333309402764944,1
hair,-0.08047519089575378,0.253978240839143,5,0.3344534317348968,1
get,-0.07688207263225719,0.238000341474962,12,0.3148824141072192,2
are,-0.07340521299952749,0.1631231594610624,13,0.2365283724605899,2
at,-0.07104434669561799,0.2722269264032489,20,0.3432712730988669,3
or,-0.07031110502707658,0.2161485541888016,13,0.2864596592158782,2
www,-0.06888553977520079,0.1911443493589754,6,0.2600298891341762,1
could,-0.06697474749938429,0.2260391469338375,6,0.2930138944332218,1
then,-0.06625755193334287,0.2806113933548574,13,0.3468689452882003,2
two,-0.0660248309178374,0.2427477902796778,6,0.3087726211975152,1
thing,-0.06588807037955391,0.2451211153761263,6,0.3110091857556802,1
me,-0.060973364929169716,0.2468247817837273,14,0.307798146712897,2
black,-0.06008475865631263,0.2619460904732638,14,0.3220308491295764,2
for,-0.05961965077319803,0.2607337133359058,31,0.3203533641091038,4
if,-0.054702611175212995,0.2317570480406652,15,0.2864596592158782,2
white,-0.054190367691543395,0.2852689252081899,32,0.3394592928997333,4
about,-0.053690718300941465,0.2505300117547034,15,0.3042207300556449,2
and,-0.052780922617411075,0.3765288386234401,107,0.4293097612408512,12
video,-0.05269956084762201,0.2411740547270102,7,0.2938736155746322,1
did,-0.05256107142390112,0.2439632906823139,7,0.296524362106215,1
him,-0.052176021573877074,0.2516747534271817,7,0.3038507750010588,1
a,-0.04851823546345807,0.3333178609459928,81,0.3818360964094509,9
on,-0.046827806783158954,0.2829926729921817,34,0.3298204797753407,4
of,-0.04515337504456812,0.2797689633191215,54,0.3249223383636896,6
have,-0.04301557211843979,0.1960756758723442,17,0.239091247990784,2
they,-0.04295034925879221,0.1975002517387618,17,0.240450600997554,2
good,-0.041842679918719566,0.2131306202263434,8,0.254973300145063,1
he,-0.041681084808924185,0.2169650044358204,8,0.2586460892447446,1
go,-0.04133740207582148,0.2250871852705677,8,0.2664245873463892,1
around,-0.04035820347870511,0.2479891925549923,8,0.2883473960336974,1
ago,-0.0392050984051755,0.274522007281485,8,0.3137271056866605,1
s,-0.03738035786902261,0.2649013240242338,27,0.3022816818932564,3
t,-0.03432722410763592,0.2499058218246277,18,0.2842330459322636,2
n,-0.034182472160033894,0.2532382179918742,18,0.2874206901519081,2
from,-0.033812471081360096,0.2617489249914286,18,0.2955613960727887,2
here,-0.03080511719020851,0.2106835185083204,9,0.2414886356985289,1
has,-0.030046085068060002,0.2312171556551595,9,0.2612632407232195,1
few,-0.029328274503846674,0.2505794757716429,9,0.2799077502754896,1
kids,-0.029033150307004985,0.2585244666628088,9,0.2875576169698138,1
off,-0.028377101493835044,0.2761532338649392,9,0.3045303353587742,1
time,-0.019229297317046534,0.251945541068708,10,0.2711748383857545,1
own,-0.018303263861016994,0.281302194913151,10,0.299605458774168,1
is,-0.015422416878563328,0.3116178497279379,54,0.3270402666065012,5
to,-0.005690828960956462,0.3192999623880746,81,0.3249907913490311,7
year,-0.00039525168591808546,0.2871623652838957,12,0.2875576169698138,1
said,0.00012399471411167484,0.3130620020099224,12,0.3129380072958107,1
my,0.004052264139007611,0.2734234983624097,25,0.2693712342234021,2
i,0.004441136016392511,0.3062929030750106,74,0.3018517670586181,6
not,0.006185554796875686,0.2092292080021127,13,0.203043653205237,1
see,0.0072291274409171935,0.2612324965777118,13,0.2540033691367946,1
woman,0.008501644400036978,0.3458634293314752,13,0.3373617849314382,1
was,0.014344476430274922,0.3328351192281375,40,0.3184906427978626,3
in,0.017589800419511803,0.3299084329061708,67,0.312318632486659,5
be,0.021793736514858608,0.2215683311451267,15,0.1997745946302681,1
will,0.02920184162000261,0.2473898573155227,16,0.2181880156955201,1
by,0.02941070830346179,0.2732384424912961,16,0.2438277341878343,1
old,0.0295728578500562,0.3143134886273105,16,0.2847406307772543,1
this,0.03495221533671988,0.2824114098116168,32,0.2474591944748969,2
that,0.05792603728469192,0.2770160561111925,38,0.2190900188265006,2
her,0.3680541392374571,0.6410983341501928,194,0.2730441949127357,1
